sheet,row,col,address,value,formula
ADD ON-INTERNAL COIL,1,1,A1,INTERNAL COIL ,
ADD ON-INTERNAL COIL,2,1,A2,ITEMS IN RED NEED TO HAVE SIZE VERIFIED OR DIMENSIONS INPUT,
ADD ON-INTERNAL COIL,4,1,A4,ITEM,
ADD ON-INTERNAL COIL,4,2,B4,QTY,
ADD ON-INTERNAL COIL,4,3,C4,DESCRIPTION,
ADD ON-INTERNAL COIL,4,4,D4,MTRL,
ADD ON-INTERNAL COIL,4,6,F4,LABOR,
ADD ON-INTERNAL COIL,6,1,A6,INTERNAL COIL,
ADD ON-INTERNAL COIL,6,2,B6,1,
ADD ON-INTERNAL COIL,6,3,C6,"3"" SCH 40 X 20'                ",
ADD ON-INTERNAL COIL,6,4,D6,SA312-316/316L WLD,
ADD ON-INTERNAL COIL,7,1,A7,ELBOW,
ADD ON-INTERNAL COIL,7,2,B7,2,
ADD ON-INTERNAL COIL,7,3,C7,"3"" SCH 40 ELBOW LR 90",
ADD ON-INTERNAL COIL,7,4,D7,SA312-316/316L WLD,
ADD ON-INTERNAL COIL,8,1,A8,COIL SUPPORTS,
ADD ON-INTERNAL COIL,8,2,B8,4,
ADD ON-INTERNAL COIL,8,3,C8,"1/4"" X 4"" X 10""                     BASE PLATE",
ADD ON-INTERNAL COIL,8,4,D8,SA240-316/316L,
ADD ON-INTERNAL COIL,9,2,B9,4,
ADD ON-INTERNAL COIL,9,3,C9,"1/4"" X 10"" X 110"" ",
ADD ON-INTERNAL COIL,9,4,D9,SA240-316/316L,
ADD ON-INTERNAL COIL,10,1,A10,U-BOLTS,
ADD ON-INTERNAL COIL,10,2,B10,1,
ADD ON-INTERNAL COIL,10,3,C10,"1/2"" X 1' RND BAR     MF: (1) 12'",
ADD ON-INTERNAL COIL,10,4,D10,SA240-316/316L,
ADD ON-INTERNAL COIL,20,3,C20,"If there is an internal coil we add these lines
the size, sch, and moc can be found on calculation
the length needed for line 1 is in calculation
There will always be (2) elbows for each coil
coil supports 1st line description stays the same
2nd line coil supports    1/4"" x 10"" x 110""   the 110"" will change to 12"" taller than the coil. 
U bolts will be 
",
ADD ON-INTERNAL COIL,97,1,A97,TOC,
