sheet,row,col,address,value,formula
ADD ON- HALF PIPE JACKET,1,1,A1,HALF PIPE JACKET,
ADD ON- HALF PIPE JACKET,2,1,A2,ITEMS IN RED NEED TO HAVE SIZE VERIFIED OR DIMENSIONS INPUT,
ADD ON- HALF PIPE JACKET,4,1,A4,ITEM,
ADD ON- HALF PIPE JACKET,4,2,B4,QTY,
ADD ON- HALF PIPE JACKET,4,3,C4,DESCRIPTION,
ADD ON- HALF PIPE JACKET,4,4,D4,MTRL,
ADD ON- HALF PIPE JACKET,4,6,F4,LABOR,
ADD ON- HALF PIPE JACKET,6,1,A6,TOP ZONE SHELL HALF PIPE COIL,
ADD ON- HALF PIPE JACKET,6,2,B6,1,
ADD ON- HALF PIPE JACKET,6,3,C6,"3"" SCH10; 4 1/2"" PITCH (14) TURNS FOR 109"" OD SHELL",
ADD ON- HALF PIPE JACKET,7,1,A7,BOTTOM ZONE SHELL HALF PIPE COIL,
ADD ON- HALF PIPE JACKET,7,2,B7,1,
ADD ON- HALF PIPE JACKET,7,3,C7,"3"" SCH10; 5 1/2"" PITCH (3) TURNS FOR 109"" OD SHELL",
ADD ON- HALF PIPE JACKET,8,1,A8,BOTTOM HEAD HALF PIPE COIL,
ADD ON- HALF PIPE JACKET,8,2,B8,1,
ADD ON- HALF PIPE JACKET,8,3,C8,"3"" SCH40; 5 1/2"" PITCH FOR 108"" ID ASME F&D 3/4"" NOM. HEAD",
ADD ON- HALF PIPE JACKET,15,1,A15,"lines that need to be added depending on which part of the tank requires a half pipe jacket
Calculations show all info in description, material.  
Cost comes from vendor
labor comes from other table",
ADD ON- HALF PIPE JACKET,96,1,A96,TOC,
