sheet,row,col,address,value,formula
ADD ON- HANDRAIL,1,1,A1,HANDRAIL,
ADD ON- HANDRAIL,2,1,A2,ITEMS IN RED NEED TO HAVE SIZE VERIFIED OR DIMENSIONS INPUT,
ADD ON- HANDRAIL,4,1,A4,ITEM,
ADD ON- HANDRAIL,4,2,B4,QTY,
ADD ON- HANDRAIL,4,3,C4,DESCRIPTION,
ADD ON- HANDRAIL,4,4,D4,MTRL,
ADD ON- HANDRAIL,4,6,F4,LABOR,
ADD ON- HANDRAIL,6,1,A6,HANDRAIL TANK CLIPS,
ADD ON- HANDRAIL,6,2,B6,12,
ADD ON- HANDRAIL,6,3,C6,"ANGLE  1/4""  X  2""  X  2"" X  6- 9/16""           MF"" (1) 20'",
ADD ON- HANDRAIL,6,4,D6,SA479-304/304L,
ADD ON- HANDRAIL,6,5,E6,300,
ADD ON- HANDRAIL,6,6,F6,6,
ADD ON- HANDRAIL,7,1,A7,HANDRAIL ,
ADD ON- HANDRAIL,7,2,B7,1,
ADD ON- HANDRAIL,7,3,C7,"1.5""  SCH40 HANDRAIL w/  TOEKICK  X  '",
ADD ON- HANDRAIL,7,4,D7,GCST,
ADD ON- HANDRAIL,8,1,A8,SAFETY GATE,
ADD ON- HANDRAIL,8,2,B8,1,
ADD ON- HANDRAIL,8,4,D8,GCST,
ADD ON- HANDRAIL,8,5,E8,275,
ADD ON- HANDRAIL,8,6,F8,-,
ADD ON- HANDRAIL,13,3,C13,"If the tank has handrails these lines are used for handrail
1st line is standard and does not change
2nd line:   Add the ft of handrail needed (diameter of tank x pi)
Cost is $18 per ft
Hours come from other table
3rd line - standard, never changes",
ADD ON- HANDRAIL,97,1,A97,TOC,
