sheet,row,col,address,value,formula
ADD ON- PLATFORM,1,1,A1,PLATFORM,
ADD ON- PLATFORM,2,1,A2,ITEMS IN RED NEED TO HAVE SIZE VERIFIED OR DIMENSIONS INPUT,
ADD ON- PLATFORM,4,1,A4,ITEM,
ADD ON- PLATFORM,4,2,B4,QTY,
ADD ON- PLATFORM,4,3,C4,DESCRIPTION,
ADD ON- PLATFORM,4,4,D4,MTRL,
ADD ON- PLATFORM,4,5,E4,MOC,
ADD ON- PLATFORM,4,6,F4,LABOR,
ADD ON- PLATFORM,6,1,A6,PLATFORM,
ADD ON- PLATFORM,6,2,B6,2,
ADD ON- PLATFORM,6,3,C6,C6 X 8.2# X 20',
ADD ON- PLATFORM,6,4,D6,GCST,
ADD ON- PLATFORM,6,5,E6,143,
ADD ON- PLATFORM,7,2,B7,1,
ADD ON- PLATFORM,7,3,C7,"1-1/4""  X  3/16""  X  36""  X  240""  HOT ROLLED BAR GRATING (SERRATED, UNCOATED)  ",
ADD ON- PLATFORM,7,4,D7,SA36,
ADD ON- PLATFORM,7,5,E7,1100,=B7*1100
ADD ON- PLATFORM,16,3,C16,Discuss to see if this is possible to be automated,
ADD ON- PLATFORM,99,1,A99,TOC,
