sheet,row,col,address,value,formula
HORIZONTAL TANK,1,1,A1,"HORIZONTAL TANK, CARBON",
HORIZONTAL TANK,1,8,H1,"HORIZONTAL TANK, 304 STAINLESS",
HORIZONTAL TANK,1,15,O1,"HORIZONTAL TANK, 316 STAINLESS",
HORIZONTAL TANK,2,1,A2,ITEM,
HORIZONTAL TANK,2,2,B2,QTY,
HORIZONTAL TANK,2,3,C2,DESCRIPTION,
HORIZONTAL TANK,2,4,D2,MTRL,
HORIZONTAL TANK,2,5,E2,MOC,
HORIZONTAL TANK,2,6,F2,LABOR,
HORIZONTAL TANK,2,8,H2,ITEM,
HORIZONTAL TANK,2,9,I2,QTY,
HORIZONTAL TANK,2,10,J2,DESCRIPTION,
HORIZONTAL TANK,2,11,K2,MTRL,
HORIZONTAL TANK,2,12,L2,MOC,
HORIZONTAL TANK,2,13,M2,LABOR,
HORIZONTAL TANK,2,15,O2,ITEM,
HORIZONTAL TANK,2,16,P2,QTY,
HORIZONTAL TANK,2,17,Q2,DESCRIPTION,
HORIZONTAL TANK,2,18,R2,MTRL,
HORIZONTAL TANK,2,19,S2,MOC,
HORIZONTAL TANK,2,20,T2,LABOR,
HORIZONTAL TANK,4,1,A4,LEFT & RIGHT HEAD,
HORIZONTAL TANK,4,2,B4,2,
HORIZONTAL TANK,4,3,C4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
HORIZONTAL TANK,4,4,D4,SA516-70,
HORIZONTAL TANK,4,8,H4,LEFT & RIGHT HEAD,
HORIZONTAL TANK,4,9,I4,2,
HORIZONTAL TANK,4,10,J4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
HORIZONTAL TANK,4,11,K4,SA240-304/304L,
HORIZONTAL TANK,4,15,O4,LEFT & RIGHT HEAD,
HORIZONTAL TANK,4,16,P4,2,
HORIZONTAL TANK,4,17,Q4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
HORIZONTAL TANK,4,18,R4,SA240-316/316L,
HORIZONTAL TANK,5,1,A5,SHELL,
HORIZONTAL TANK,5,2,B5,1,
HORIZONTAL TANK,5,3,C5,"5/16"" X "" X "" ",
HORIZONTAL TANK,5,4,D5,SA516-70,
HORIZONTAL TANK,5,8,H5,SHELL,
HORIZONTAL TANK,5,9,I5,1,
HORIZONTAL TANK,5,10,J5,"5/16"" X "" X "" ",
HORIZONTAL TANK,5,11,K5,SA240-304/304L,
HORIZONTAL TANK,5,15,O5,SHELL,
HORIZONTAL TANK,5,16,P5,1,
HORIZONTAL TANK,5,17,Q5,"5/16"" X "" X "" ",
HORIZONTAL TANK,5,18,R5,SA240-316/316L,
HORIZONTAL TANK,6,2,B6,1,
HORIZONTAL TANK,6,3,C6,"1/4"" X "" X """,
HORIZONTAL TANK,6,4,D6,SA516-70,
HORIZONTAL TANK,6,9,I6,1,
HORIZONTAL TANK,6,10,J6,"1/4"" X "" X """,
HORIZONTAL TANK,6,11,K6,SA240-304/304L,
HORIZONTAL TANK,6,16,P6,1,
HORIZONTAL TANK,6,17,Q6,"1/4"" X "" X """,
HORIZONTAL TANK,6,18,R6,SA240-316/316L,
HORIZONTAL TANK,7,1,A7,INSULATIONS RINGS,
HORIZONTAL TANK,7,2,B7,2,
HORIZONTAL TANK,7,3,C7,"1/4"" X "" X """,
HORIZONTAL TANK,7,4,D7,SA36,
HORIZONTAL TANK,7,8,H7,INSULATIONS RINGS,
HORIZONTAL TANK,7,9,I7,2,
HORIZONTAL TANK,7,10,J7,"1/4"" X "" X """,
HORIZONTAL TANK,7,11,K7,SA240-304/304L,
HORIZONTAL TANK,7,15,O7,INSULATIONS RINGS,
HORIZONTAL TANK,7,16,P7,2,
HORIZONTAL TANK,7,17,Q7,"1/4"" X "" X """,
HORIZONTAL TANK,7,18,R7,SA240-304/304L,
HORIZONTAL TANK,8,1,A8,GROUND LUG & NP,
HORIZONTAL TANK,8,2,B8,1,
HORIZONTAL TANK,8,3,C8,Savannah Tank Standard,
HORIZONTAL TANK,8,4,D8,SA36,
HORIZONTAL TANK,8,5,E8,25,
HORIZONTAL TANK,8,6,F8,1,
HORIZONTAL TANK,8,8,H8,GROUND LUG & NP,
HORIZONTAL TANK,8,9,I8,1,
HORIZONTAL TANK,8,10,J8,Savannah Tank Standard,
HORIZONTAL TANK,8,11,K8,SA240-304/304L,
HORIZONTAL TANK,8,12,L8,30,
HORIZONTAL TANK,8,13,M8,1,
HORIZONTAL TANK,8,15,O8,GROUND LUG & NP,
HORIZONTAL TANK,8,16,P8,1,
HORIZONTAL TANK,8,17,Q8,Savannah Tank Standard,
HORIZONTAL TANK,8,18,R8,SA240-304/304L,
HORIZONTAL TANK,8,19,S8,30,
HORIZONTAL TANK,8,20,T8,1,
HORIZONTAL TANK,9,1,A9,LIFT LUG,
HORIZONTAL TANK,9,2,B9,1,
HORIZONTAL TANK,9,3,C9,"1/2"" X 6"" X 6""",
HORIZONTAL TANK,9,4,D9,SA36,
HORIZONTAL TANK,9,6,F9,1,=B9*1
HORIZONTAL TANK,9,8,H9,LIFT LUG,
HORIZONTAL TANK,9,9,I9,1,
HORIZONTAL TANK,9,10,J9,"1/2"" X 6"" X 6""",
HORIZONTAL TANK,9,11,K9,SA240-304/304L,
HORIZONTAL TANK,9,13,M9,1,=I9*1
HORIZONTAL TANK,9,15,O9,LIFT LUG,
HORIZONTAL TANK,9,16,P9,1,
HORIZONTAL TANK,9,17,Q9,"1/2"" X 6"" X 6""",
HORIZONTAL TANK,9,18,R9,SA240-304/304L,
HORIZONTAL TANK,9,20,T9,1,=P9*1
HORIZONTAL TANK,10,1,A10,SADDLE WEB,
HORIZONTAL TANK,10,2,B10,2,
HORIZONTAL TANK,10,3,C10,"1/2"" X 60"" X 84"" ",
HORIZONTAL TANK,10,4,D10,SA36,
HORIZONTAL TANK,10,8,H10,SADDLE WEB,
HORIZONTAL TANK,10,9,I10,2,
HORIZONTAL TANK,10,10,J10,"1/2"" X 60"" X 84"" ",
HORIZONTAL TANK,10,11,K10,SA240-304/304L,
HORIZONTAL TANK,10,15,O10,SADDLE WEB,
HORIZONTAL TANK,10,16,P10,2,
HORIZONTAL TANK,10,17,Q10,"1/2"" X 60"" X 84"" ",
HORIZONTAL TANK,10,18,R10,SA240-304/304L,
HORIZONTAL TANK,11,1,A11,SADDLE STIFFENERS,
HORIZONTAL TANK,11,2,B11,6,
HORIZONTAL TANK,11,3,C11,"1/2"" X 8"" X 60""",
HORIZONTAL TANK,11,4,D11,SA36,
HORIZONTAL TANK,11,8,H11,SADDLE STIFFENERS,
HORIZONTAL TANK,11,9,I11,6,
HORIZONTAL TANK,11,10,J11,"1/2"" X 8"" X 60""",
HORIZONTAL TANK,11,11,K11,SA240-304/304L,
HORIZONTAL TANK,11,15,O11,SADDLE STIFFENERS,
HORIZONTAL TANK,11,16,P11,6,
HORIZONTAL TANK,11,17,Q11,"1/2"" X 8"" X 60""",
HORIZONTAL TANK,11,18,R11,SA240-304/304L,
HORIZONTAL TANK,12,1,A12,SADDLE BASE PLATE,
HORIZONTAL TANK,12,2,B12,2,
HORIZONTAL TANK,12,3,C12,"5/8"" X 9"" X 84 ",
HORIZONTAL TANK,12,4,D12,SA36,
HORIZONTAL TANK,12,8,H12,SADDLE BASE PLATE,
HORIZONTAL TANK,12,9,I12,2,
HORIZONTAL TANK,12,10,J12,"5/8"" X 9"" X 84 ",
HORIZONTAL TANK,12,11,K12,SA240-304/304L,
HORIZONTAL TANK,12,15,O12,SADDLE BASE PLATE,
HORIZONTAL TANK,12,16,P12,2,
HORIZONTAL TANK,12,17,Q12,"5/8"" X 9"" X 84 ",
HORIZONTAL TANK,12,18,R12,SA240-304/304L,
HORIZONTAL TANK,14,1,A14,BAFFLES,
HORIZONTAL TANK,14,2,B14,4,
HORIZONTAL TANK,14,3,C14,"1/4"" X "" X "" ",
HORIZONTAL TANK,14,4,D14,SA516-70,
HORIZONTAL TANK,14,8,H14,BAFFLES,
HORIZONTAL TANK,14,9,I14,4,
HORIZONTAL TANK,14,10,J14,"1/4"" X "" X "" ",
HORIZONTAL TANK,14,11,K14,SA240-304/304L,
HORIZONTAL TANK,14,15,O14,BAFFLES,
HORIZONTAL TANK,14,16,P14,4,
HORIZONTAL TANK,14,17,Q14,"1/4"" X "" X "" ",
HORIZONTAL TANK,14,18,R14,SA240-316/316L,
HORIZONTAL TANK,15,1,A15,BAFFLE SUPPORTS,
HORIZONTAL TANK,15,2,B15,16,
HORIZONTAL TANK,15,3,C15,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
HORIZONTAL TANK,15,4,D15,SA516-70,
HORIZONTAL TANK,15,8,H15,BAFFLE SUPPORTS,
HORIZONTAL TANK,15,9,I15,16,
HORIZONTAL TANK,15,10,J15,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
HORIZONTAL TANK,15,11,K15,SA240-304/304L,
HORIZONTAL TANK,15,15,O15,BAFFLE SUPPORTS,
HORIZONTAL TANK,15,16,P15,16,
HORIZONTAL TANK,15,17,Q15,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
HORIZONTAL TANK,15,18,R15,SA240-316/316L,
HORIZONTAL TANK,27,8,H27,"Less common ASME Compress Vessel
Choose section by MOC
Calculations show which to use",
HORIZONTAL TANK,42,1,A42,TOC,
