sheet,row,col,address,value,formula
LABOR- API TOP_BTM_RIM ANGLE ,1,1,A1,API  TOP / BOTTOM / RIM ANGLE,
LABOR- API TOP_BTM_RIM ANGLE ,2,1,A2,TANK ASSEMBLY HOURS,
LABOR- API TOP_BTM_RIM ANGLE ,3,4,D3,FLAT BOTTOM,
LABOR- API TOP_BTM_RIM ANGLE ,3,10,J3,Sloped bottom,
LABOR- API TOP_BTM_RIM ANGLE ,3,12,L3,RIM ANGLE,
LABOR- API TOP_BTM_RIM ANGLE ,3,17,Q3,top,
LABOR- API TOP_BTM_RIM ANGLE ,4,4,D4,CUT,
LABOR- API TOP_BTM_RIM ANGLE ,4,5,E4,MAKE,
LABOR- API TOP_BTM_RIM ANGLE ,4,6,F4,FIT,
LABOR- API TOP_BTM_RIM ANGLE ,4,7,G4,WELD,
LABOR- API TOP_BTM_RIM ANGLE ,4,12,L4,ROLL,
LABOR- API TOP_BTM_RIM ANGLE ,4,13,M4,FIT,
LABOR- API TOP_BTM_RIM ANGLE ,4,14,N4,WELD,
LABOR- API TOP_BTM_RIM ANGLE ,4,17,Q4,CUT,
LABOR- API TOP_BTM_RIM ANGLE ,4,18,R4,FLAT,
LABOR- API TOP_BTM_RIM ANGLE ,4,19,S4,CONE,
LABOR- API TOP_BTM_RIM ANGLE ,4,20,T4,FIT,
LABOR- API TOP_BTM_RIM ANGLE ,4,21,U4,WELD,
LABOR- API TOP_BTM_RIM ANGLE ,4,22,V4,TOT,
LABOR- API TOP_BTM_RIM ANGLE ,4,23,W4,TOT,
LABOR- API TOP_BTM_RIM ANGLE ,5,1,A5,"TANK DIAMETER, FEET",
LABOR- API TOP_BTM_RIM ANGLE ,5,2,B5,"TANK DIAMETER, INCHES",
LABOR- API TOP_BTM_RIM ANGLE ,5,4,D5,BTM,
LABOR- API TOP_BTM_RIM ANGLE ,5,5,E5,BTM,
LABOR- API TOP_BTM_RIM ANGLE ,5,6,F5,BTM,
LABOR- API TOP_BTM_RIM ANGLE ,5,7,G5,BTM,
LABOR- API TOP_BTM_RIM ANGLE ,5,8,H5,TOTAL,
LABOR- API TOP_BTM_RIM ANGLE ,5,10,J5,TOTAL,
LABOR- API TOP_BTM_RIM ANGLE ,5,12,L5,RIM,
LABOR- API TOP_BTM_RIM ANGLE ,5,13,M5,RIM,
LABOR- API TOP_BTM_RIM ANGLE ,5,14,N5,RIM,
LABOR- API TOP_BTM_RIM ANGLE ,5,15,O5,TOTAL,
LABOR- API TOP_BTM_RIM ANGLE ,5,17,Q5,TOP,
LABOR- API TOP_BTM_RIM ANGLE ,5,18,R5,TOP,
LABOR- API TOP_BTM_RIM ANGLE ,5,19,S5,TOP,
LABOR- API TOP_BTM_RIM ANGLE ,5,20,T5,TOP,
LABOR- API TOP_BTM_RIM ANGLE ,5,21,U5,TO RIM,
LABOR- API TOP_BTM_RIM ANGLE ,5,22,V5,FLAT,
LABOR- API TOP_BTM_RIM ANGLE ,5,23,W5,CONE,
LABOR- API TOP_BTM_RIM ANGLE ,6,1,A6,"UP TO 2'-6""",
LABOR- API TOP_BTM_RIM ANGLE ,6,2,B6,"UP TO 30""",
LABOR- API TOP_BTM_RIM ANGLE ,6,4,D6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,5,E6,0,
LABOR- API TOP_BTM_RIM ANGLE ,6,6,F6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,7,G6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,8,H6,3,=SUM(D6:G6)
LABOR- API TOP_BTM_RIM ANGLE ,6,10,J6,7,=H6+4
LABOR- API TOP_BTM_RIM ANGLE ,6,12,L6,2,
LABOR- API TOP_BTM_RIM ANGLE ,6,13,M6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,14,N6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,15,O6,4,=SUM(L6:N6)
LABOR- API TOP_BTM_RIM ANGLE ,6,17,Q6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,18,R6,0,
LABOR- API TOP_BTM_RIM ANGLE ,6,19,S6,2,=R6+2
LABOR- API TOP_BTM_RIM ANGLE ,6,20,T6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,21,U6,1,
LABOR- API TOP_BTM_RIM ANGLE ,6,22,V6,3,=Q6+R6+T6+U6
LABOR- API TOP_BTM_RIM ANGLE ,6,23,W6,5,=Q6+S6+T6+U6
LABOR- API TOP_BTM_RIM ANGLE ,6,31,AE6,This table is for API tanks.  Take the diameter and you can see what the manhours are for different components.  Doesn’t matter if it is carbon or stainless,
LABOR- API TOP_BTM_RIM ANGLE ,7,1,A7,"FROM 2'-7"" TO 3'-0""",
LABOR- API TOP_BTM_RIM ANGLE ,7,2,B7,"FROM 31"" TO 36""",
LABOR- API TOP_BTM_RIM ANGLE ,7,4,D7,1,
LABOR- API TOP_BTM_RIM ANGLE ,7,5,E7,0,
LABOR- API TOP_BTM_RIM ANGLE ,7,6,F7,1,
LABOR- API TOP_BTM_RIM ANGLE ,7,7,G7,2,
LABOR- API TOP_BTM_RIM ANGLE ,7,8,H7,4,=SUM(D7:G7)
LABOR- API TOP_BTM_RIM ANGLE ,7,10,J7,8,=H7+4
LABOR- API TOP_BTM_RIM ANGLE ,7,12,L7,2,
LABOR- API TOP_BTM_RIM ANGLE ,7,13,M7,1,
LABOR- API TOP_BTM_RIM ANGLE ,7,14,N7,2,
LABOR- API TOP_BTM_RIM ANGLE ,7,15,O7,5,=SUM(L7:N7)
LABOR- API TOP_BTM_RIM ANGLE ,7,17,Q7,1,
LABOR- API TOP_BTM_RIM ANGLE ,7,18,R7,0,
LABOR- API TOP_BTM_RIM ANGLE ,7,19,S7,2,=R7+2
LABOR- API TOP_BTM_RIM ANGLE ,7,20,T7,2,
LABOR- API TOP_BTM_RIM ANGLE ,7,21,U7,2,
LABOR- API TOP_BTM_RIM ANGLE ,7,22,V7,5,=Q7+R7+T7+U7
LABOR- API TOP_BTM_RIM ANGLE ,7,23,W7,7,=Q7+S7+T7+U7
LABOR- API TOP_BTM_RIM ANGLE ,8,1,A8,"FROM 3'-1"" TO 3'-9""",
LABOR- API TOP_BTM_RIM ANGLE ,8,2,B8,"FROM 37"" TO 45""",
LABOR- API TOP_BTM_RIM ANGLE ,8,4,D8,1,
LABOR- API TOP_BTM_RIM ANGLE ,8,5,E8,0,
LABOR- API TOP_BTM_RIM ANGLE ,8,6,F8,1,
LABOR- API TOP_BTM_RIM ANGLE ,8,7,G8,2,
LABOR- API TOP_BTM_RIM ANGLE ,8,8,H8,4,=SUM(D8:G8)
LABOR- API TOP_BTM_RIM ANGLE ,8,10,J8,8,=H8+4
LABOR- API TOP_BTM_RIM ANGLE ,8,12,L8,2,
LABOR- API TOP_BTM_RIM ANGLE ,8,13,M8,1,
LABOR- API TOP_BTM_RIM ANGLE ,8,14,N8,2,
LABOR- API TOP_BTM_RIM ANGLE ,8,15,O8,5,=SUM(L8:N8)
LABOR- API TOP_BTM_RIM ANGLE ,8,17,Q8,1,
LABOR- API TOP_BTM_RIM ANGLE ,8,18,R8,0,
LABOR- API TOP_BTM_RIM ANGLE ,8,19,S8,2,=R8+2
LABOR- API TOP_BTM_RIM ANGLE ,8,20,T8,2,
LABOR- API TOP_BTM_RIM ANGLE ,8,21,U8,2,
LABOR- API TOP_BTM_RIM ANGLE ,8,22,V8,5,=Q8+R8+T8+U8
LABOR- API TOP_BTM_RIM ANGLE ,8,23,W8,7,=Q8+S8+T8+U8
LABOR- API TOP_BTM_RIM ANGLE ,9,1,A9,"FROM 3'-10"" TO 5'-10""",
LABOR- API TOP_BTM_RIM ANGLE ,9,2,B9,"FROM 46"" TO 70""",
LABOR- API TOP_BTM_RIM ANGLE ,9,4,D9,1,
LABOR- API TOP_BTM_RIM ANGLE ,9,5,E9,0,
LABOR- API TOP_BTM_RIM ANGLE ,9,6,F9,2,
LABOR- API TOP_BTM_RIM ANGLE ,9,7,G9,3,
LABOR- API TOP_BTM_RIM ANGLE ,9,8,H9,6,=SUM(D9:G9)
LABOR- API TOP_BTM_RIM ANGLE ,9,10,J9,10,=H9+4
LABOR- API TOP_BTM_RIM ANGLE ,9,12,L9,2,
LABOR- API TOP_BTM_RIM ANGLE ,9,13,M9,2,
