sheet,row,col,address,value,formula
LABOR- ASME HEAD_SHELL,1,1,A1,ASME HEAD / SHELL,
LABOR- ASME HEAD_SHELL,2,1,A2,"TANK ASSEMBLY, WELD SEAM HOURS",
LABOR- ASME HEAD_SHELL,3,4,D3," SHELLS 3/16"" - 5/16""",
LABOR- ASME HEAD_SHELL,3,9,I3, SHELLS 3/8,
LABOR- ASME HEAD_SHELL,3,13,M3," SHELLS 1/2"" ",
LABOR- ASME HEAD_SHELL,3,18,R3," SHELLS 5/8""",
LABOR- ASME HEAD_SHELL,3,23,W3," SHELLS 3/4"" ",
LABOR- ASME HEAD_SHELL,4,4,D4,FIT +,
LABOR- ASME HEAD_SHELL,4,5,E4,WELD,
LABOR- ASME HEAD_SHELL,4,6,F4,WELD,
LABOR- ASME HEAD_SHELL,4,9,I4,WELD,
LABOR- ASME HEAD_SHELL,4,10,J4,WELD,
LABOR- ASME HEAD_SHELL,4,13,M4,FIT +,
LABOR- ASME HEAD_SHELL,4,14,N4,WELD,
LABOR- ASME HEAD_SHELL,4,15,O4,WELD,
LABOR- ASME HEAD_SHELL,4,18,R4,FIT +,
LABOR- ASME HEAD_SHELL,4,19,S4,WELD,
LABOR- ASME HEAD_SHELL,4,20,T4,WELD,
LABOR- ASME HEAD_SHELL,4,23,W4,FIT +,
LABOR- ASME HEAD_SHELL,4,24,X4,WELD,
LABOR- ASME HEAD_SHELL,4,25,Y4,WELD,
LABOR- ASME HEAD_SHELL,5,1,A5,"TANK DIAMETER, FEET",
LABOR- ASME HEAD_SHELL,5,2,B5,"TANK DIAMETER, INCHES",
LABOR- ASME HEAD_SHELL,5,4,D5,TACK,
LABOR- ASME HEAD_SHELL,5,5,E5,IN,
LABOR- ASME HEAD_SHELL,5,6,F5,OUT,
LABOR- ASME HEAD_SHELL,5,7,G5,TOTAL,
LABOR- ASME HEAD_SHELL,5,9,I5,IN,
LABOR- ASME HEAD_SHELL,5,10,J5,OUT,
LABOR- ASME HEAD_SHELL,5,11,K5,TOTAL,
LABOR- ASME HEAD_SHELL,5,13,M5,TACK,
LABOR- ASME HEAD_SHELL,5,14,N5,IN,
LABOR- ASME HEAD_SHELL,5,15,O5,OUT,
LABOR- ASME HEAD_SHELL,5,16,P5,TOTAL,
LABOR- ASME HEAD_SHELL,5,18,R5,TACK,
LABOR- ASME HEAD_SHELL,5,19,S5,IN,
LABOR- ASME HEAD_SHELL,5,20,T5,OUT,
LABOR- ASME HEAD_SHELL,5,21,U5,TOTAL,
LABOR- ASME HEAD_SHELL,5,23,W5,TACK,
LABOR- ASME HEAD_SHELL,5,24,X5,IN,
LABOR- ASME HEAD_SHELL,5,25,Y5,OUT,
LABOR- ASME HEAD_SHELL,5,26,Z5,TOTAL,
LABOR- ASME HEAD_SHELL,6,1,A6,"UP TO 2'-6""",
LABOR- ASME HEAD_SHELL,6,2,B6,"UP TO 30""",
LABOR- ASME HEAD_SHELL,6,4,D6,2,
LABOR- ASME HEAD_SHELL,6,5,E6,2,
LABOR- ASME HEAD_SHELL,6,6,F6,2,
LABOR- ASME HEAD_SHELL,6,7,G6,6,=SUM(D6:F6)
LABOR- ASME HEAD_SHELL,6,9,I6,3,
LABOR- ASME HEAD_SHELL,6,10,J6,4,
LABOR- ASME HEAD_SHELL,6,11,K6,7,=SUM(I6:J6)
LABOR- ASME HEAD_SHELL,6,13,M6,2,
LABOR- ASME HEAD_SHELL,6,14,N6,5,
LABOR- ASME HEAD_SHELL,6,15,O6,4,
LABOR- ASME HEAD_SHELL,6,16,P6,11,=SUM(M6:O6)
LABOR- ASME HEAD_SHELL,6,18,R6,2,
LABOR- ASME HEAD_SHELL,6,19,S6,7,=N6-I6+N6
LABOR- ASME HEAD_SHELL,6,20,T6,4,
LABOR- ASME HEAD_SHELL,6,21,U6,13,=SUM(R6:T6)
LABOR- ASME HEAD_SHELL,6,23,W6,2,
LABOR- ASME HEAD_SHELL,6,24,X6,9,=S6-N6+S6
LABOR- ASME HEAD_SHELL,6,25,Y6,4,
LABOR- ASME HEAD_SHELL,6,26,Z6,15,=SUM(W6:Y6)
LABOR- ASME HEAD_SHELL,7,1,A7,"FROM 2'-7"" TO 3'-0""",
LABOR- ASME HEAD_SHELL,7,2,B7,"FROM 31"" TO 36""",
LABOR- ASME HEAD_SHELL,7,4,D7,2,
LABOR- ASME HEAD_SHELL,7,5,E7,2,
LABOR- ASME HEAD_SHELL,7,6,F7,2,
LABOR- ASME HEAD_SHELL,7,7,G7,6,=SUM(D7:F7)
LABOR- ASME HEAD_SHELL,7,9,I7,3,
LABOR- ASME HEAD_SHELL,7,10,J7,4,
LABOR- ASME HEAD_SHELL,7,11,K7,7,=SUM(I7:J7)
LABOR- ASME HEAD_SHELL,7,13,M7,2,
LABOR- ASME HEAD_SHELL,7,14,N7,5,
LABOR- ASME HEAD_SHELL,7,15,O7,4,
LABOR- ASME HEAD_SHELL,7,16,P7,11,=SUM(M7:O7)
LABOR- ASME HEAD_SHELL,7,18,R7,2,
LABOR- ASME HEAD_SHELL,7,19,S7,7,=N7-I7+N7
LABOR- ASME HEAD_SHELL,7,20,T7,4,
LABOR- ASME HEAD_SHELL,7,21,U7,13,=SUM(R7:T7)
LABOR- ASME HEAD_SHELL,7,23,W7,2,
LABOR- ASME HEAD_SHELL,7,24,X7,9,=S7-N7+S7
LABOR- ASME HEAD_SHELL,7,25,Y7,4,
LABOR- ASME HEAD_SHELL,7,26,Z7,15,=SUM(W7:Y7)
LABOR- ASME HEAD_SHELL,8,1,A8,"FROM 3'-1"" TO 3'-9""",
LABOR- ASME HEAD_SHELL,8,2,B8,"FROM 37"" TO 45""",
LABOR- ASME HEAD_SHELL,8,4,D8,2,
LABOR- ASME HEAD_SHELL,8,5,E8,2,
LABOR- ASME HEAD_SHELL,8,6,F8,2,
LABOR- ASME HEAD_SHELL,8,7,G8,6,=SUM(D8:F8)
LABOR- ASME HEAD_SHELL,8,9,I8,3,
LABOR- ASME HEAD_SHELL,8,10,J8,4,
LABOR- ASME HEAD_SHELL,8,11,K8,7,=SUM(I8:J8)
LABOR- ASME HEAD_SHELL,8,13,M8,2,
LABOR- ASME HEAD_SHELL,8,14,N8,5,
