sheet,row,col,address,value,formula
LABOR- BAFFLE,1,1,A1,BAFFLES,
LABOR- BAFFLE,2,1,A2,Baffle Length,
LABOR- BAFFLE,2,2,B2,# of Baffles,
LABOR- BAFFLE,2,3,C2,Total M/H for Baffles,
LABOR- BAFFLE,2,5,E2,Baffle Construction,
LABOR- BAFFLE,2,6,F2,Baffle Supports,
LABOR- BAFFLE,2,7,G2,Baffle Installation,
LABOR- BAFFLE,2,8,H2,M/H Per Baffle,
LABOR- BAFFLE,3,1,A3,Up to 5',
LABOR- BAFFLE,3,2,B3,1,
LABOR- BAFFLE,3,3,C3,4.5,=B3*H3
LABOR- BAFFLE,3,5,E3,1,
LABOR- BAFFLE,3,6,F3,0.5,
LABOR- BAFFLE,3,7,G3,3,
LABOR- BAFFLE,3,8,H3,4.5,=E3+F3+G3
LABOR- BAFFLE,4,1,A4,>5' to 10',
LABOR- BAFFLE,4,2,B4,1,
LABOR- BAFFLE,4,3,C4,5,=B4*H4
LABOR- BAFFLE,4,5,E4,1,
LABOR- BAFFLE,4,6,F4,1,
LABOR- BAFFLE,4,7,G4,3,
LABOR- BAFFLE,4,8,H4,5,=E4+F4+G4
LABOR- BAFFLE,5,1,A5,>10' to 15',
LABOR- BAFFLE,5,2,B5,1,
LABOR- BAFFLE,5,3,C5,9.5,=B5*H5
LABOR- BAFFLE,5,5,E5,2,
LABOR- BAFFLE,5,6,F5,1.5,
LABOR- BAFFLE,5,7,G5,6,
LABOR- BAFFLE,5,8,H5,9.5,=E5+F5+G5
LABOR- BAFFLE,6,1,A6,>15' to 20',
LABOR- BAFFLE,6,2,B6,1,
LABOR- BAFFLE,6,3,C6,10,=B6*H6
LABOR- BAFFLE,6,5,E6,2,
LABOR- BAFFLE,6,6,F6,2,
LABOR- BAFFLE,6,7,G6,6,
LABOR- BAFFLE,6,8,H6,10,=E6+F6+G6
LABOR- BAFFLE,6,12,L6,"Baffles are not on the calculations. 
Table shows manhours per baffle based on diameter of tank",
LABOR- BAFFLE,7,1,A7,>20' to 25',
LABOR- BAFFLE,7,2,B7,1,
LABOR- BAFFLE,7,3,C7,14.5,=B7*H7
LABOR- BAFFLE,7,5,E7,3,
LABOR- BAFFLE,7,6,F7,2.5,
LABOR- BAFFLE,7,7,G7,9,
LABOR- BAFFLE,7,8,H7,14.5,=E7+F7+G7
LABOR- BAFFLE,8,1,A8,>25' to 30',
LABOR- BAFFLE,8,2,B8,4,
LABOR- BAFFLE,8,3,C8,60,=B8*H8
LABOR- BAFFLE,8,5,E8,3,
LABOR- BAFFLE,8,6,F8,3,
LABOR- BAFFLE,8,7,G8,9,
LABOR- BAFFLE,8,8,H8,15,=E8+F8+G8
LABOR- BAFFLE,9,1,A9,>30' to 35',
LABOR- BAFFLE,9,2,B9,1,
LABOR- BAFFLE,9,3,C9,19.5,=B9*H9
LABOR- BAFFLE,9,5,E9,4,
LABOR- BAFFLE,9,6,F9,3.5,
LABOR- BAFFLE,9,7,G9,12,
LABOR- BAFFLE,9,8,H9,19.5,=E9+F9+G9
LABOR- BAFFLE,10,1,A10,>35' to 40',
LABOR- BAFFLE,10,2,B10,1,
LABOR- BAFFLE,10,3,C10,20,=B10*H10
LABOR- BAFFLE,10,5,E10,4,
LABOR- BAFFLE,10,6,F10,4,
LABOR- BAFFLE,10,7,G10,12,
LABOR- BAFFLE,10,8,H10,20,=E10+F10+G10
LABOR- BAFFLE,11,1,A11,>40' to 45',
LABOR- BAFFLE,11,2,B11,1,
LABOR- BAFFLE,11,3,C11,24.5,=B11*H11
LABOR- BAFFLE,11,5,E11,5,
LABOR- BAFFLE,11,6,F11,4.5,
LABOR- BAFFLE,11,7,G11,15,
LABOR- BAFFLE,11,8,H11,24.5,=E11+F11+G11
LABOR- BAFFLE,12,1,A12,>45' to 50',
LABOR- BAFFLE,12,2,B12,1,
LABOR- BAFFLE,12,3,C12,25,=B12*H12
LABOR- BAFFLE,12,5,E12,5,
LABOR- BAFFLE,12,6,F12,5,
LABOR- BAFFLE,12,7,G12,15,
LABOR- BAFFLE,12,8,H12,25,=E12+F12+G12
LABOR- BAFFLE,13,1,A13,>50' to 55' ,
LABOR- BAFFLE,13,2,B13,1,
LABOR- BAFFLE,13,3,C13,29.5,=B13*H13
LABOR- BAFFLE,13,5,E13,6,
LABOR- BAFFLE,13,6,F13,5.5,
LABOR- BAFFLE,13,7,G13,18,
LABOR- BAFFLE,13,8,H13,29.5,=E13+F13+G13
LABOR- BAFFLE,14,1,A14,>55' to 60',
LABOR- BAFFLE,14,2,B14,1,
LABOR- BAFFLE,14,3,C14,30,=B14*H14
LABOR- BAFFLE,14,5,E14,6,
LABOR- BAFFLE,14,6,F14,6,
LABOR- BAFFLE,14,7,G14,18,
LABOR- BAFFLE,14,8,H14,30,=E14+F14+G14
LABOR- BAFFLE,15,1,A15,>60' to 65',
LABOR- BAFFLE,15,2,B15,1,
LABOR- BAFFLE,15,3,C15,34.5,=B15*H15
LABOR- BAFFLE,15,5,E15,7,
LABOR- BAFFLE,15,6,F15,6.5,
LABOR- BAFFLE,15,7,G15,21,
LABOR- BAFFLE,15,8,H15,34.5,=E15+F15+G15
LABOR- BAFFLE,16,1,A16,>65' to 70',
LABOR- BAFFLE,16,2,B16,1,
LABOR- BAFFLE,16,3,C16,35,=B16*H16
LABOR- BAFFLE,16,5,E16,7,
LABOR- BAFFLE,16,6,F16,7,
LABOR- BAFFLE,16,7,G16,21,
LABOR- BAFFLE,16,8,H16,35,=E16+F16+G16
LABOR- BAFFLE,17,1,A17,>70' to 75',
LABOR- BAFFLE,17,2,B17,1,
LABOR- BAFFLE,17,3,C17,39.5,=B17*H17
LABOR- BAFFLE,17,5,E17,8,
LABOR- BAFFLE,17,6,F17,7.5,
LABOR- BAFFLE,17,7,G17,24,
LABOR- BAFFLE,17,8,H17,39.5,=E17+F17+G17
LABOR- BAFFLE,18,1,A18,>75' to 80',
LABOR- BAFFLE,18,2,B18,1,
LABOR- BAFFLE,18,3,C18,40,=B18*H18
LABOR- BAFFLE,18,5,E18,8,
LABOR- BAFFLE,18,6,F18,8,
LABOR- BAFFLE,18,7,G18,24,
LABOR- BAFFLE,18,8,H18,40,=E18+F18+G18
LABOR- BAFFLE,45,1,A45,TOC,
