sheet,row,col,address,value,formula
LABOR- DIMPLE JACKET,1,1,A1,          DIMPLE JACKET,
LABOR- DIMPLE JACKET,2,1,A2,Dimple Jacket - SHELL,
LABOR- DIMPLE JACKET,3,1,A3,# of Panels,
LABOR- DIMPLE JACKET,3,2,B3,# of Dimples,
LABOR- DIMPLE JACKET,3,3,C3,Total M/H for Dimpled Jacket on Shell,
LABOR- DIMPLE JACKET,3,5,E3,Fit & Tack M/H,
LABOR- DIMPLE JACKET,3,6,F3,Dimples M/H,
LABOR- DIMPLE JACKET,3,7,G3,Seams M/H,
LABOR- DIMPLE JACKET,3,8,H3,Repair M/H,
LABOR- DIMPLE JACKET,4,3,C4,0,=E4+F4+G4+H4
LABOR- DIMPLE JACKET,4,5,E4,0,=A4*6
LABOR- DIMPLE JACKET,4,6,F4,0,=B4/90
LABOR- DIMPLE JACKET,4,7,G4,0,=A4*1
LABOR- DIMPLE JACKET,4,8,H4,0,=A4*2
LABOR- DIMPLE JACKET,8,1,A8,Dimple Jacket - HEAD,
LABOR- DIMPLE JACKET,8,11,K8,"Table is used to determine manhours for dimple jackets
dimple jackets are not shown on calculations
# of panels, panel length & width are all given by vendor.
We will need to discuss how to handle this one.",
LABOR- DIMPLE JACKET,9,1,A9,# of Panels,
LABOR- DIMPLE JACKET,9,2,B9,# of Dimples,
LABOR- DIMPLE JACKET,9,3,C9,Total M/H for Dimpled Jacket on Head,
LABOR- DIMPLE JACKET,9,5,E9,Fit & Tack M/H,
LABOR- DIMPLE JACKET,9,6,F9,Dimples M/H,
LABOR- DIMPLE JACKET,9,7,G9,Seams M/H,
LABOR- DIMPLE JACKET,9,8,H9,Repair M/H,
LABOR- DIMPLE JACKET,10,3,C10,0,=E10+F10+G10+H10
LABOR- DIMPLE JACKET,10,5,E10,0,=A10*3
LABOR- DIMPLE JACKET,10,6,F10,0,=B10/90
LABOR- DIMPLE JACKET,10,7,G10,0,=A10*1
LABOR- DIMPLE JACKET,10,8,H10,0,=A10*1
LABOR- DIMPLE JACKET,16,1,A16,DIMPLE CALCULATOR  per 2 X 2 PANEL,
LABOR- DIMPLE JACKET,17,1,A17,Panel Width ft,
LABOR- DIMPLE JACKET,17,2,B17,Panel Length ft,
LABOR- DIMPLE JACKET,17,3,C17,# of Panels,
LABOR- DIMPLE JACKET,17,4,D17,# of Dimples/Panel,
LABOR- DIMPLE JACKET,17,5,E17,Total # of Dimples,
LABOR- DIMPLE JACKET,18,4,D18,0,=(((A18*12)/2)*((B18*12)/2))
LABOR- DIMPLE JACKET,18,5,E18,0,=C18*D18
LABOR- DIMPLE JACKET,22,1,A22,DIMPLE CALCULATOR  per 3 X 3 PANEL,
LABOR- DIMPLE JACKET,23,1,A23,Panel Width ft,
LABOR- DIMPLE JACKET,23,2,B23,Panel Length ft,
LABOR- DIMPLE JACKET,23,3,C23,# of Panels,
LABOR- DIMPLE JACKET,23,4,D23,# of Dimples/Panel,
LABOR- DIMPLE JACKET,23,5,E23,Total # of Dimples,
LABOR- DIMPLE JACKET,24,4,D24,0,=(((A24*12)/3)*((B24*12)/3))
LABOR- DIMPLE JACKET,24,5,E24,0,=C24*D24
LABOR- DIMPLE JACKET,29,4,D29,TOTAL,
LABOR- DIMPLE JACKET,29,5,E29,0,=SUM(E18:E27)
LABOR- DIMPLE JACKET,45,1,A45,TOC,
