sheet,row,col,address,value,formula
LABOR- HALF PIPE JACKET,1,1,A1,             HALF PIPE JACKET                  STANDARD JACKET WELDS,
LABOR- HALF PIPE JACKET,2,1,A2,Half Pipe Jacket - SHELL,
LABOR- HALF PIPE JACKET,3,1,A3,Tank Diameter (ft),
LABOR- HALF PIPE JACKET,3,2,B3,Linear FT of Pipe,
LABOR- HALF PIPE JACKET,3,3,C3,# of Turns,
LABOR- HALF PIPE JACKET,3,4,D3,Total M/H for Half Pipe Jacket on Shell,
LABOR- HALF PIPE JACKET,3,6,F3,Fit & Tack M/H,
LABOR- HALF PIPE JACKET,3,7,G3,Weld M/H,
LABOR- HALF PIPE JACKET,3,8,H3,Repair,
LABOR- HALF PIPE JACKET,3,9,I3,Repair M/H,
LABOR- HALF PIPE JACKET,4,4,D4,0,=F4+G4+I4
LABOR- HALF PIPE JACKET,4,6,F4,0,=B4/10
LABOR- HALF PIPE JACKET,4,7,G4,0,=B4/15
LABOR- HALF PIPE JACKET,4,8,H4,1,"=IF(A4<=9,""1"",""1.5"")"
LABOR- HALF PIPE JACKET,4,9,I4,0,=H4*C4
LABOR- HALF PIPE JACKET,5,1,A5,Half Pipe Jacket - HEAD,
LABOR- HALF PIPE JACKET,6,1,A6,Tank Diameter (ft),
LABOR- HALF PIPE JACKET,6,2,B6,Linear FT of Pipe,
LABOR- HALF PIPE JACKET,6,3,C6,# of Turns,
LABOR- HALF PIPE JACKET,6,4,D6,Total M/H for Half Pipe Jacket on Shell,
LABOR- HALF PIPE JACKET,6,6,F6,Cut Pipe,
LABOR- HALF PIPE JACKET,6,7,G6,Fit & Tack M/H,
LABOR- HALF PIPE JACKET,6,8,H6,Weld M/H,
LABOR- HALF PIPE JACKET,6,9,I6,Repair M/H,
LABOR- HALF PIPE JACKET,7,4,D7,0,=F7+G7+H7+I7
LABOR- HALF PIPE JACKET,7,6,F7,0,=B7/10
LABOR- HALF PIPE JACKET,7,7,G7,0,=B7/10
LABOR- HALF PIPE JACKET,7,8,H7,0,=B7/10
LABOR- HALF PIPE JACKET,7,9,I7,0,=C7*1
LABOR- HALF PIPE JACKET,10,1,A10,                                  HALF PIPE JACKET                 FULL PENETRATION JACKET WELDS,
LABOR- HALF PIPE JACKET,11,1,A11,Half Pipe Jacket - SHELL,
LABOR- HALF PIPE JACKET,12,1,A12,Tank Diameter (ft),
LABOR- HALF PIPE JACKET,12,2,B12,Linear FT of Pipe,
LABOR- HALF PIPE JACKET,12,3,C12,# of Turns,
LABOR- HALF PIPE JACKET,12,4,D12,Total M/H for Half Pipe Jacket on Shell,
LABOR- HALF PIPE JACKET,12,6,F12,Bevel M/H,
LABOR- HALF PIPE JACKET,12,7,G12,Fit & Tack M/H,
LABOR- HALF PIPE JACKET,12,8,H12,Weld M/H,
LABOR- HALF PIPE JACKET,12,9,I12,Repair,
LABOR- HALF PIPE JACKET,12,10,J12,Repair M/H,
LABOR- HALF PIPE JACKET,13,4,D13,0,=F13+G13+H13+J13
LABOR- HALF PIPE JACKET,13,6,F13,0,=B13/10
LABOR- HALF PIPE JACKET,13,7,G13,0,=B13/10
LABOR- HALF PIPE JACKET,13,8,H13,0,=B13/2
LABOR- HALF PIPE JACKET,13,9,I13,1,"=IF(A13<=9,""1"",""1.5"")"
LABOR- HALF PIPE JACKET,13,10,J13,0,=C13*I13
LABOR- HALF PIPE JACKET,14,1,A14,Half Pipe Jacket - HEAD,
LABOR- HALF PIPE JACKET,15,1,A15,Tank Diameter (ft),
LABOR- HALF PIPE JACKET,15,2,B15,Linear FT of Pipe,
LABOR- HALF PIPE JACKET,15,3,C15,# of Turns,
LABOR- HALF PIPE JACKET,15,4,D15,Total M/H for Half Pipe Jacket on Head,
LABOR- HALF PIPE JACKET,15,6,F15,Bevel M/H,
LABOR- HALF PIPE JACKET,15,7,G15,Cut Pipe,
LABOR- HALF PIPE JACKET,15,8,H15,Fit & Tack M/H,
LABOR- HALF PIPE JACKET,15,9,I15,Weld M/H,
LABOR- HALF PIPE JACKET,15,10,J15,Repair M/H,
LABOR- HALF PIPE JACKET,16,4,D16,0,=F16+G16+H16+I16+J16
LABOR- HALF PIPE JACKET,16,6,F16,0,=B16/10
LABOR- HALF PIPE JACKET,16,7,G16,0,=B16/10
LABOR- HALF PIPE JACKET,16,8,H16,0,=B16/10
LABOR- HALF PIPE JACKET,16,9,I16,0,=B16/1.5
LABOR- HALF PIPE JACKET,16,10,J16,0,=C16*1
LABOR- HALF PIPE JACKET,20,2,B20,"The above (2) tables are used to determine the manhours required to put on a half pipe jacket with (2) different weld techniques.  
Weld technique, tank diameter, and # of turns are shown in claculations.  
Linear ft of pipe is an equation dia(ft) x pi x # of turns
",
LABOR- HALF PIPE JACKET,32,1,A32,TOC,
