sheet,row,col,address,value,formula
LABOR- INTERNAL COIL,1,1,A1,INTERNAL COIL,
LABOR- INTERNAL COIL,2,1,A2,Coil Diameter,
LABOR- INTERNAL COIL,2,2,B2,# of Turns,
LABOR- INTERNAL COIL,2,3,C2,Length of Coil (FT),
LABOR- INTERNAL COIL,2,4,D2,# of Joints,
LABOR- INTERNAL COIL,2,5,E2,# of Elbows/Piping/Etc,
LABOR- INTERNAL COIL,2,6,F2,Total M/H for Internal Pipe Coil,
LABOR- INTERNAL COIL,2,8,H2,Circ of Coil (FT),
LABOR- INTERNAL COIL,2,9,I2,M/H Turns,
LABOR- INTERNAL COIL,2,10,J2,M/H Welded Joints,
LABOR- INTERNAL COIL,2,11,K2,Elbows/Piping/Etc,
LABOR- INTERNAL COIL,3,1,A3,Up to 2',
LABOR- INTERNAL COIL,3,3,C3,0,=H3*B3
LABOR- INTERNAL COIL,3,4,D3,0,=C3/18
LABOR- INTERNAL COIL,3,6,F3,0,=(B3*I3)+(D3*J3)+(E3*K3)
LABOR- INTERNAL COIL,3,8,H3,6.3,
LABOR- INTERNAL COIL,3,9,I3,4,
LABOR- INTERNAL COIL,3,10,J3,3,
LABOR- INTERNAL COIL,3,11,K3,3,
LABOR- INTERNAL COIL,4,1,A4,>2' to 3',
LABOR- INTERNAL COIL,4,3,C4,0,=H4*B4
LABOR- INTERNAL COIL,4,4,D4,0,=C4/18
LABOR- INTERNAL COIL,4,6,F4,0,=(B4*I4)+(D4*J4)+(E4*K4)
LABOR- INTERNAL COIL,4,8,H4,9.4,
LABOR- INTERNAL COIL,4,9,I4,4,
LABOR- INTERNAL COIL,4,10,J4,3,
LABOR- INTERNAL COIL,4,11,K4,3,
LABOR- INTERNAL COIL,5,1,A5,>3' to 4',
LABOR- INTERNAL COIL,5,3,C5,0,=H5*B5
LABOR- INTERNAL COIL,5,4,D5,0,=C5/18
LABOR- INTERNAL COIL,5,6,F5,0,=(B5*I5)+(D5*J5)+(E5*K5)
LABOR- INTERNAL COIL,5,8,H5,12.6,
LABOR- INTERNAL COIL,5,9,I5,4,
LABOR- INTERNAL COIL,5,10,J5,3,
LABOR- INTERNAL COIL,5,11,K5,3,
LABOR- INTERNAL COIL,6,1,A6,>4' to 5',
LABOR- INTERNAL COIL,6,3,C6,0,=H6*B6
LABOR- INTERNAL COIL,6,4,D6,0,=C6/18
LABOR- INTERNAL COIL,6,6,F6,0,=(B6*I6)+(D6*J6)+(E6*K6)
LABOR- INTERNAL COIL,6,8,H6,15.7,
LABOR- INTERNAL COIL,6,9,I6,4,
LABOR- INTERNAL COIL,6,10,J6,3,
LABOR- INTERNAL COIL,6,11,K6,3,
LABOR- INTERNAL COIL,7,1,A7,>5' to 6',
