sheet,row,col,address,value,formula
LABOR- LADDER,1,1,A1,LADDER,
LABOR- LADDER,2,1,A2,Length of Ladder (ft),
LABOR- LADDER,2,2,B2,Caged?,
LABOR- LADDER,2,3,C2,M/H per 10 FT,
LABOR- LADDER,2,4,D2,Total M/H for Ladder,
LABOR- LADDER,2,6,F2,Caged,
LABOR- LADDER,3,2,B3,Yes,
LABOR- LADDER,3,3,C3,0,=(A3/10)*4
LABOR- LADDER,3,4,D3,0,=(A3*F3)+C3
LABOR- LADDER,3,6,F3,1,"=IF(B3=""Yes"",""1"","".5"")"
LABOR- LADDER,9,2,B9,"Manhours for ladder
Length of ladder is determined by measurement from floor to top weld seam plus 4'
Any ladder 20' or less to be caged unless requested by customer.
Not all tanks have ladders",
LABOR- LADDER,49,1,A49,TOC,
