sheet,row,col,address,value,formula
LABOR- NOZZLE ,2,1,A2,Nozzle Size,
LABOR- NOZZLE ,2,2,B2,# of Nozzles,
LABOR- NOZZLE ,2,3,C2,Tank Wall Thickness,
LABOR- NOZZLE ,2,4,D2,Repad?,
LABOR- NOZZLE ,2,5,E2,Gussets?,
LABOR- NOZZLE ,2,6,F2,Tangential?,
LABOR- NOZZLE ,2,7,G2,Blind?,
LABOR- NOZZLE ,2,8,H2,Davit/Hinge?,
LABOR- NOZZLE ,2,9,I2,Total M/H for Nozzles,
LABOR- NOZZLE ,2,11,K2,Wall Thickness,
LABOR- NOZZLE ,2,12,L2,Repad,
LABOR- NOZZLE ,2,13,M2,Gussets,
LABOR- NOZZLE ,2,14,N2,Blind,
LABOR- NOZZLE ,2,15,O2,Davit/Hinge,
LABOR- NOZZLE ,2,16,P2,M/H Nozzles,
LABOR- NOZZLE ,2,17,Q2,Nozzle Size,
LABOR- NOZZLE ,2,19,S2,PAD FLANGE,
LABOR- NOZZLE ,2,24,X2,Wall Thickness,
LABOR- NOZZLE ,3,1,A3,"1""",
LABOR- NOZZLE ,3,2,B3,2,
LABOR- NOZZLE ,3,3,C3,1/4,
LABOR- NOZZLE ,3,4,D3,No,
LABOR- NOZZLE ,3,5,E3,No,
LABOR- NOZZLE ,3,7,G3,No,
LABOR- NOZZLE ,3,8,H3,No,
LABOR- NOZZLE ,3,9,I3,6,=(B3*P3)+L3+M3+N3+O3
LABOR- NOZZLE ,3,11,K3,3,"=IF(C3=0,""0"",IF(C3=""5/16"",""3"",IF(C3=""3/8"",""3.3"",IF(C3=""1/2"",""4"",IF(C3=""5/8"",""5"",IF(C3=""3/4"",""5.5"",""3""))))))"
LABOR- NOZZLE ,3,12,L3,0,"=IF(D3=""Yes"",""3"",""0"")"
LABOR- NOZZLE ,3,13,M3,0,"=IF(E3=""Yes"",""3"",""0"")"
LABOR- NOZZLE ,3,14,N3,0,"=IF(G3=""Yes"",""2"",""0"")"
LABOR- NOZZLE ,3,15,O3,0,"=IF(H3=""Yes"",""4"",""0"")"
LABOR- NOZZLE ,3,16,P3,3,"=IF(F3=""Yes"",K3*2,K3)"
LABOR- NOZZLE ,3,17,Q3,"1""",
LABOR- NOZZLE ,3,19,S3,3,
LABOR- NOZZLE ,3,24,X3,3/16,
LABOR- NOZZLE ,4,1,A4,"2""",
LABOR- NOZZLE ,4,2,B4,2,
LABOR- NOZZLE ,4,3,C4,1/4,
LABOR- NOZZLE ,4,4,D4,No,
LABOR- NOZZLE ,4,5,E4,No,
LABOR- NOZZLE ,4,7,G4,No,
LABOR- NOZZLE ,4,8,H4,No,
