sheet,row,col,address,value,formula
LABOR- PLATFORM,1,1,A1,PLATFORM,
LABOR- PLATFORM,3,1,A3,Tank Diameter,
LABOR- PLATFORM,3,2,B3,Platform?,
LABOR- PLATFORM,3,3,C3,# of Nozzles,
LABOR- PLATFORM,3,4,D3,# of Manways,
LABOR- PLATFORM,3,5,E3,Total M/H for Platform,
LABOR- PLATFORM,3,7,G3,SQ FT of Platform,
LABOR- PLATFORM,3,8,H3,M/H per Sq Ft,
LABOR- PLATFORM,3,9,I3,M/H Nozzle Banding,
LABOR- PLATFORM,3,10,J3,M/H Manway Banding,
LABOR- PLATFORM,3,11,K3,Installation,
LABOR- PLATFORM,5,1,A5,Up to 4',
LABOR- PLATFORM,5,5,E5,0,=(G5*H5)+(C5*I5)+(D5*J5)+K5
LABOR- PLATFORM,5,7,G5,0,"=IF(B5=""Yes"",""16"",""0"")"
LABOR- PLATFORM,5,8,H5,0.5,
LABOR- PLATFORM,5,9,I5,1.5,
LABOR- PLATFORM,5,10,J5,3,
LABOR- PLATFORM,5,11,K5,0,"=IF(B5=""Yes"",""4"",""0"")"
LABOR- PLATFORM,6,1,A6,>4' to 5',
LABOR- PLATFORM,6,5,E6,0,=(G6*H6)+(C6*I6)+(D6*J6)+K6
LABOR- PLATFORM,6,7,G6,0,"=IF(B6=""Yes"",""25"",""0"")"
LABOR- PLATFORM,6,8,H6,0.45,
LABOR- PLATFORM,6,9,I6,1.5,
LABOR- PLATFORM,6,10,J6,3,
LABOR- PLATFORM,6,11,K6,0,"=IF(B6=""Yes"",""5"",""0"")"
LABOR- PLATFORM,7,1,A7,>5' to 6',
LABOR- PLATFORM,7,5,E7,0,=(G7*H7)+(C7*I7)+(D7*J7)+K7
LABOR- PLATFORM,7,7,G7,0,"=IF(B7=""Yes"",""36"",""0"")"
LABOR- PLATFORM,7,8,H7,0.4,
LABOR- PLATFORM,7,9,I7,1.5,
LABOR- PLATFORM,7,10,J7,3,
LABOR- PLATFORM,7,11,K7,0,"=IF(B7=""Yes"",""6"",""0"")"
LABOR- PLATFORM,8,1,A8,>6' to 7',
LABOR- PLATFORM,8,5,E8,0,=(G8*H8)+(C8*I8)+(D8*J8)+K8
LABOR- PLATFORM,8,7,G8,0,"=IF(B8=""Yes"",""49"",""0"")"
