sheet,row,col,address,value,formula
LABOR- RING,1,1,A1,INSULATION RINGS,
LABOR- RING,1,5,E1,INTERNAL SUPPORT / TRAY RINGS,
LABOR- RING,3,1,A3,Tank Diameter,
LABOR- RING,3,2,B3,M/H per ring,
LABOR- RING,3,5,E3,Tank Diameter,
LABOR- RING,3,6,F3,Ring Thickness,
LABOR- RING,3,7,G3,Total M/H per Support / Tray Ring,
LABOR- RING,3,9,I3,Ring Thickness,
LABOR- RING,4,1,A4,Up to 1',
LABOR- RING,4,2,B4,3,
LABOR- RING,4,11,K4,Ring Thickness,
LABOR- RING,5,1,A5,>1' to 2',
LABOR- RING,5,2,B5,4,
LABOR- RING,5,5,E5,Up to 1',
LABOR- RING,5,6,F5,1/2,
LABOR- RING,5,7,G5,3,=I5
LABOR- RING,5,9,I5,3,"=IF(F5=0,""0"",IF(F5=""1/2"",""3"",IF(F5=""3/4"",""3"",""3"")))"
LABOR- RING,5,11,K5,1/2,
LABOR- RING,6,1,A6,>2' to 3',
LABOR- RING,6,2,B6,5,
LABOR- RING,6,5,E6,>1' to 2',
LABOR- RING,6,6,F6,1/2,
LABOR- RING,6,7,G6,3,=I6
LABOR- RING,6,9,I6,3,"=IF(F6=0,""0"",IF(F6=""1/2"",""3"",IF(F6=""3/4"",""3"",""3"")))"
LABOR- RING,6,11,K6,3/4,
LABOR- RING,7,1,A7,>3' to 4',
LABOR- RING,7,2,B7,5,
LABOR- RING,7,5,E7,>2' to 3',
LABOR- RING,7,6,F7,1/2,
LABOR- RING,7,7,G7,3,=I7
LABOR- RING,7,9,I7,3,"=IF(F7=0,""0"",IF(F7=""1/2"",""3"",IF(F7=""3/4"",""3"",""3"")))"
LABOR- RING,7,11,K7,1,
LABOR- RING,8,1,A8,>4' to 5',
LABOR- RING,8,2,B8,5,
LABOR- RING,8,5,E8,>3' to 4',
LABOR- RING,8,6,F8,1/2,
LABOR- RING,8,7,G8,3,=I8
LABOR- RING,8,9,I8,3,"=IF(F8=0,""0"",IF(F8=""1/2"",""3"",IF(F8=""3/4"",""3"",""3"")))"
LABOR- RING,9,1,A9,>5' to 6',
LABOR- RING,9,2,B9,7,
LABOR- RING,9,5,E9,>4' to 5',
LABOR- RING,9,6,F9,1/2,
LABOR- RING,9,7,G9,3,=I9
LABOR- RING,9,9,I9,3,"=IF(F9=0,""0"",IF(F9=""1/2"",""3"",IF(F9=""3/4"",""3"",""3"")))"
LABOR- RING,10,1,A10,>6' to 7',
LABOR- RING,10,2,B10,7,
LABOR- RING,10,5,E10,>5' to 6',
LABOR- RING,10,6,F10,1/2,
LABOR- RING,10,7,G10,5,=I10
LABOR- RING,10,9,I10,5,"=IF(F10=0,""0"",IF(F10=""1/2"",""5"",IF(F10=""3/4"",""6"",""7"")))"
LABOR- RING,11,1,A11,>7' to 8',
LABOR- RING,11,2,B11,8,
LABOR- RING,11,5,E11,>6' to 7',
LABOR- RING,11,6,F11,1/2,
LABOR- RING,11,7,G11,6,=I11
LABOR- RING,11,9,I11,6,"=IF(F11=0,""0"",IF(F11=""1/2"",""6"",IF(F11=""3/4"",""7"",""8"")))"
LABOR- RING,12,1,A12,>8' to 9',
LABOR- RING,12,2,B12,9,
LABOR- RING,12,5,E12,>7' to 8',
LABOR- RING,12,6,F12,1/2,
LABOR- RING,12,7,G12,7,=I12
LABOR- RING,12,9,I12,7,"=IF(F12=0,""0"",IF(F12=""1/2"",""7"",IF(F12=""3/4"",""8"",""9"")))"
LABOR- RING,13,1,A13,>9' to 10',
LABOR- RING,13,2,B13,10,
LABOR- RING,13,5,E13,>8' to 9',
LABOR- RING,13,6,F13,1/2,
LABOR- RING,13,7,G13,8,=I13
