sheet,row,col,address,value,formula
"LABOR- SHELL ROLL, CS",1,1,A1,SHELL - CARBON STEEL,
"LABOR- SHELL ROLL, CS",2,1,A2,"SHELL COURSE, MATERIAL NEED",
"LABOR- SHELL ROLL, CS",2,6,F2,"SHELL COURSE, ROLLING HOURS ",
"LABOR- SHELL ROLL, CS",3,1,A3,TANK DIA ID/ OD IN FT,
"LABOR- SHELL ROLL, CS",3,2,B3,TANK ID/ OD IN INCH,
"LABOR- SHELL ROLL, CS",3,3,C3,PLATES per          SHELL COURSE,
"LABOR- SHELL ROLL, CS",3,4,D3,LENGTH of      EACH PLATE,
"LABOR- SHELL ROLL, CS",3,6,F3,"3/16"" to 5/16""",
"LABOR- SHELL ROLL, CS",3,12,L3,"3/8""",
"LABOR- SHELL ROLL, CS",3,18,R3,"1/2""",
"LABOR- SHELL ROLL, CS",3,24,X3,"3/4""",
"LABOR- SHELL ROLL, CS",3,29,AC3,<<<<<<<<Shell thickness,
"LABOR- SHELL ROLL, CS",4,6,F4,M & C,
"LABOR- SHELL ROLL, CS",4,7,G4,WLD,
"LABOR- SHELL ROLL, CS",4,8,H4,ROLL,
"LABOR- SHELL ROLL, CS",4,9,I4,I/S WLD,
"LABOR- SHELL ROLL, CS",4,10,J4,TOT,
"LABOR- SHELL ROLL, CS",4,12,L4,"M,C,VB",
"LABOR- SHELL ROLL, CS",4,13,M4,WLD,
"LABOR- SHELL ROLL, CS",4,14,N4,ROLL,
"LABOR- SHELL ROLL, CS",4,15,O4,I/S WLD,
"LABOR- SHELL ROLL, CS",4,16,P4,TOT,
"LABOR- SHELL ROLL, CS",4,18,R4,"M,C,VB",
"LABOR- SHELL ROLL, CS",4,19,S4,WLD,
"LABOR- SHELL ROLL, CS",4,20,T4,ROLL,
"LABOR- SHELL ROLL, CS",4,21,U4,I/S WLD,
"LABOR- SHELL ROLL, CS",4,22,V4,TOT,
"LABOR- SHELL ROLL, CS",4,24,X4,"M,C,VVB",
"LABOR- SHELL ROLL, CS",4,25,Y4,WLD,
"LABOR- SHELL ROLL, CS",4,26,Z4,ROLL,
"LABOR- SHELL ROLL, CS",4,27,AA4,I/S WLD,
"LABOR- SHELL ROLL, CS",4,28,AB4,TOT,
"LABOR- SHELL ROLL, CS",5,1,A5,"UP TO 2'-6""",
"LABOR- SHELL ROLL, CS",5,2,B5,"UP TO 30""",
"LABOR- SHELL ROLL, CS",5,3,C5,1,
"LABOR- SHELL ROLL, CS",5,4,D5,"96""",
"LABOR- SHELL ROLL, CS",5,6,F5,2,=C5*2
"LABOR- SHELL ROLL, CS",5,7,G5,0,
"LABOR- SHELL ROLL, CS",5,8,H5,1.75,
"LABOR- SHELL ROLL, CS",5,9,I5,1,
"LABOR- SHELL ROLL, CS",5,10,J5,4.75,=SUM(F5:I5)
"LABOR- SHELL ROLL, CS",5,12,L5,3,=F5+(1*C5)
"LABOR- SHELL ROLL, CS",5,13,M5,0,
"LABOR- SHELL ROLL, CS",5,14,N5,1.75,
"LABOR- SHELL ROLL, CS",5,15,O5,1,
"LABOR- SHELL ROLL, CS",5,16,P5,5.75,=SUM(L5:O5)
"LABOR- SHELL ROLL, CS",5,18,R5,3.5,=F5+(1.5*C5)
"LABOR- SHELL ROLL, CS",5,19,S5,0,
"LABOR- SHELL ROLL, CS",5,20,T5,1.75,
"LABOR- SHELL ROLL, CS",5,21,U5,1.5,
"LABOR- SHELL ROLL, CS",5,22,V5,6.75,=SUM(R5:U5)
