sheet,row,col,address,value,formula
LABOR- SKIRT,1,1,A1,SKIRT ESTIMATE,
LABOR- SKIRT,3,2,B3,SKIRT SHELL ROLLING,
LABOR- SKIRT,4,1,A4,8,
LABOR- SKIRT,4,2,B4,"  # CS Shells x Hrs / Shell (use table), plus…..",
LABOR- SKIRT,5,2,B5,"  # SS Shells x Hrs / Shell (use table; use 4-6 hrs for ""mini shell""), plus…..",
LABOR- SKIRT,7,1,A7,11,
LABOR- SKIRT,7,2,B7,"BASE RING (use table), plus….",
LABOR- SKIRT,9,2,B9,ASSEMBLY & SEAM WELD,
LABOR- SKIRT,9,18,R9,Easier to explain with an example over a teams meeting if possible,
LABOR- SKIRT,10,1,A10,0,
LABOR- SKIRT,10,2,B10,"  # of Shell-to-Shell welds (use table), plus…",
LABOR- SKIRT,11,1,A11,12,
LABOR- SKIRT,11,2,B11,"  Skirt-to-Base Ring weld (use table), plus….",
LABOR- SKIRT,12,1,A12,24,
LABOR- SKIRT,12,2,B12,"  Skirt-to-Tank weld (use 2x table), ",
LABOR- SKIRT,13,1,A13,55,=SUM(A4:A12)
LABOR- SKIRT,13,2,B13, Total Skirt Hours,
LABOR- SKIRT,15,2,B15,GUSSETS / SUPPORT LUGS (1 hour each) ,
LABOR- SKIRT,16,2,B16,VENTS  (1.5 hours each),
LABOR- SKIRT,17,2,B17,ACCESS HOLES / MAN OPENINGS  (6 hours each),
LABOR- SKIRT,19,3,C19,Shell Rolling - Stainless,
LABOR- SKIRT,19,7,G19,Shell Rolling - Carbon,
LABOR- SKIRT,19,11,K19,Base Ring,
LABOR- SKIRT,19,14,N19,Shell Fit-Up & Welding,
LABOR- SKIRT,20,3,C20,"5/16""",
LABOR- SKIRT,20,4,D20,"3/8""",
LABOR- SKIRT,20,5,E20,"1/2""",
LABOR- SKIRT,20,6,F20,"3/4""",
LABOR- SKIRT,20,7,G20,"5/16""",
LABOR- SKIRT,20,8,H20,"3/8""",
LABOR- SKIRT,20,9,I20,"1/2""",
LABOR- SKIRT,20,10,J20,"3/4""",
LABOR- SKIRT,20,11,K20,"1/2""",
LABOR- SKIRT,20,12,L20,"3/4""",
LABOR- SKIRT,20,13,M20,"1""",
LABOR- SKIRT,20,14,N20,"5/16""",
LABOR- SKIRT,20,15,O20,"3/8""",
LABOR- SKIRT,20,16,P20,"1/2"" +",
LABOR- SKIRT,21,2,B21,Up to 1',
LABOR- SKIRT,21,3,C21,4,
LABOR- SKIRT,21,4,D21,5,
LABOR- SKIRT,21,5,E21,6,
LABOR- SKIRT,21,6,F21,7,
LABOR- SKIRT,21,7,G21,5,
LABOR- SKIRT,21,8,H21,6,
LABOR- SKIRT,21,9,I21,7,
LABOR- SKIRT,21,10,J21,8,
LABOR- SKIRT,21,11,K21,3,
LABOR- SKIRT,21,12,L21,3,
LABOR- SKIRT,21,13,M21,3,
LABOR- SKIRT,21,14,N21,6,
LABOR- SKIRT,21,15,O21,9,
LABOR- SKIRT,21,16,P21,11,
LABOR- SKIRT,22,2,B22,>1' to 2',
LABOR- SKIRT,22,3,C22,4,
LABOR- SKIRT,22,4,D22,5,
LABOR- SKIRT,22,5,E22,6,
LABOR- SKIRT,22,6,F22,7,
LABOR- SKIRT,22,7,G22,5,
LABOR- SKIRT,22,8,H22,6,
LABOR- SKIRT,22,9,I22,7,
LABOR- SKIRT,22,10,J22,8,
LABOR- SKIRT,22,11,K22,3,
LABOR- SKIRT,22,12,L22,3,
LABOR- SKIRT,22,13,M22,3,
LABOR- SKIRT,22,14,N22,6,
LABOR- SKIRT,22,15,O22,9,
LABOR- SKIRT,22,16,P22,11,
LABOR- SKIRT,23,2,B23,>2' to 3',
LABOR- SKIRT,23,3,C23,4,
LABOR- SKIRT,23,4,D23,5,
LABOR- SKIRT,23,5,E23,6,
LABOR- SKIRT,23,6,F23,6,
LABOR- SKIRT,23,7,G23,5,
LABOR- SKIRT,23,8,H23,6,
LABOR- SKIRT,23,9,I23,7,
LABOR- SKIRT,23,10,J23,8,
LABOR- SKIRT,23,11,K23,3,
LABOR- SKIRT,23,12,L23,3,
LABOR- SKIRT,23,13,M23,3,
LABOR- SKIRT,23,14,N23,6,
LABOR- SKIRT,23,15,O23,9,
