sheet,row,col,address,value,formula
"MANWAY, CS",2,1,A2,ITEM,
"MANWAY, CS",2,2,B2,QTY,
"MANWAY, CS",2,3,C2,DESCRIPTION,
"MANWAY, CS",2,4,D2,MTRL,
"MANWAY, CS",2,5,E2,MOC,
"MANWAY, CS",2,6,F2,LABOR,
"MANWAY, CS",3,1,A3,"20"" MW NECK",
"MANWAY, CS",3,2,B3,1,
"MANWAY, CS",3,3,C3,"1/4"" X 12"" X 63""",
"MANWAY, CS",3,4,D3,SA36,
"MANWAY, CS",4,1,A4,"20"" MW  FLANGE",
"MANWAY, CS",4,2,B4,1,
"MANWAY, CS",4,3,C4,"5/8"" ",
"MANWAY, CS",4,4,D4,SA36,
"MANWAY, CS",5,1,A5,"20"" MW COVER",
"MANWAY, CS",5,2,B5,1,
"MANWAY, CS",5,3,C5,"5/8"" ",
"MANWAY, CS",5,4,D5,SA36,
"MANWAY, CS",6,1,A6,DAVIT ARM,
"MANWAY, CS",6,2,B6,1,
"MANWAY, CS",6,3,C6,Savannah Tank Standard,
"MANWAY, CS",6,4,D6,SA36,
"MANWAY, CS",6,5,E6,250,=B6*250
"MANWAY, CS",6,6,F6,4,=B6*4
"MANWAY, CS",7,1,A7,"BOLT, NUT, & GSKT.",
"MANWAY, CS",7,2,B7,1,
"MANWAY, CS",7,3,C7,"SA193-B7/2H(PLTD.),GARLOCK 3000",
"MANWAY, CS",7,5,E7,750,=B7*750
"MANWAY, CS",7,6,F7,2,=B7*2
"MANWAY, CS",11,3,C11,"There are 2 types of manways  API & ASME.
The above shows a 20"" API style manway.
In an ASME manway the flange & Cover will be changed to 150#, such as below.
The MOC of the first (3) lines will be the same as the shell material.  The bottom (2) lines will either be SA36 (carbon) or 304 (stainless).
The hours for the flange and blind flange wil always be 0.
The hours for the davit arm will always be 4.
The hours for the bolt, nut, gasket will always be 2.
The nut, bolt, and gasket is the standard unless customer requests something different.
",
"MANWAY, CS",25,1,A25,ITEM,
"MANWAY, CS",25,2,B25,QTY,
"MANWAY, CS",25,3,C25,DESCRIPTION,
"MANWAY, CS",25,4,D25,MTRL,
"MANWAY, CS",25,5,E25,MOC,
"MANWAY, CS",25,6,F25,LABOR,
"MANWAY, CS",26,1,A26,"20"" MW NECK",
"MANWAY, CS",26,2,B26,1,
"MANWAY, CS",26,3,C26,"1/4"" X 12"" X 63""",
"MANWAY, CS",26,4,D26,SA36,
"MANWAY, CS",27,1,A27,FLANGE,
"MANWAY, CS",27,2,B27,1,
"MANWAY, CS",27,3,C27,"24"" 150# RFSO",
"MANWAY, CS",27,4,D27,SA105 B16.5,
"MANWAY, CS",28,1,A28,BLIND FLANGE,
"MANWAY, CS",28,2,B28,1,
"MANWAY, CS",28,3,C28,"24"" 150# BLIND",
"MANWAY, CS",28,4,D28,SA105 B16.5,
"MANWAY, CS",29,1,A29,DAVIT ARM,
"MANWAY, CS",29,2,B29,1,
"MANWAY, CS",29,3,C29,Savannah Tank Standard,
"MANWAY, CS",29,4,D29,SA36,
"MANWAY, CS",29,5,E29,250,=B29*250
"MANWAY, CS",29,6,F29,4,=B29*4
"MANWAY, CS",30,1,A30,"BOLT, NUT, & GSKT.",
"MANWAY, CS",30,2,B30,1,
"MANWAY, CS",30,3,C30,"SA193-B7/2H(PLTD.),GARLOCK 3000",
"MANWAY, CS",30,5,E30,750,=B30*750
"MANWAY, CS",30,6,F30,2,=B30*2
"MANWAY, CS",33,1,A33,TOC,
