sheet,row,col,address,value,formula
"TANK DESIGN, API",1,1,A1,"API TANK, CARBON",
"TANK DESIGN, API",1,8,H1,"API TANK, 304 STAINLESS",
"TANK DESIGN, API",1,15,O1,"API TANK, 316 STAINLESS",
"TANK DESIGN, API",2,1,A2,ITEM,
"TANK DESIGN, API",2,2,B2,QTY,
"TANK DESIGN, API",2,3,C2,DESCRIPTION,
"TANK DESIGN, API",2,4,D2,MTRL,
"TANK DESIGN, API",2,5,E2,MOC,
"TANK DESIGN, API",2,6,F2,LABOR,
"TANK DESIGN, API",2,8,H2,ITEM,
"TANK DESIGN, API",2,9,I2,QTY,
"TANK DESIGN, API",2,10,J2,DESCRIPTION,
"TANK DESIGN, API",2,11,K2,MTRL,
"TANK DESIGN, API",2,12,L2,MOC,
"TANK DESIGN, API",2,13,M2,LABOR,
"TANK DESIGN, API",2,15,O2,ITEM,
"TANK DESIGN, API",2,16,P2,QTY,
"TANK DESIGN, API",2,17,Q2,DESCRIPTION,
"TANK DESIGN, API",2,18,R2,MTRL,
"TANK DESIGN, API",2,19,S2,MOC,
"TANK DESIGN, API",2,20,T2,LABOR,
"TANK DESIGN, API",4,1,A4,CONE TOP,
"TANK DESIGN, API",4,2,B4,1,
"TANK DESIGN, API",4,3,C4,"1/4"" X "" X """,
"TANK DESIGN, API",4,4,D4,SA36,
"TANK DESIGN, API",4,8,H4,CONE TOP,
"TANK DESIGN, API",4,9,I4,1,
"TANK DESIGN, API",4,10,J4,"1/4"" X "" X """,
"TANK DESIGN, API",4,11,K4,SA240-304/304L,
"TANK DESIGN, API",4,15,O4,CONE TOP,
"TANK DESIGN, API",4,16,P4,1,
"TANK DESIGN, API",4,17,Q4,"1/4"" X "" X """,
"TANK DESIGN, API",4,18,R4,SA240-316/316L,
"TANK DESIGN, API",5,1,A5,RIM ANGLE,
"TANK DESIGN, API",5,2,B5,1,
"TANK DESIGN, API",5,3,C5,"1/4"" X 2"" X 2""",
"TANK DESIGN, API",5,4,D5,SA36,
"TANK DESIGN, API",5,8,H5,RIM ANGLE,
"TANK DESIGN, API",5,9,I5,1,
"TANK DESIGN, API",5,10,J5,"1/4"" X 2"" X 2""",
"TANK DESIGN, API",5,11,K5,SA240-304/304L,
"TANK DESIGN, API",5,15,O5,RIM ANGLE,
"TANK DESIGN, API",5,16,P5,1,
"TANK DESIGN, API",5,17,Q5,"1/4"" X 2"" X 2""",
"TANK DESIGN, API",5,18,R5,SA240-316/316L,
