sheet,row,col,address,value,formula
"TANK DESIGN, ASME",1,1,A1,"ASME TANK, CARBON",
"TANK DESIGN, ASME",1,8,H1,"ASME TANK, 304 STAINLESS",
"TANK DESIGN, ASME",1,15,O1,"ASME TANK, 316 STAINLESS",
"TANK DESIGN, ASME",2,1,A2,ITEM,
"TANK DESIGN, ASME",2,2,B2,QTY,
"TANK DESIGN, ASME",2,3,C2,DESCRIPTION,
"TANK DESIGN, ASME",2,4,D2,MTRL,
"TANK DESIGN, ASME",2,5,E2,MOC,
"TANK DESIGN, ASME",2,6,F2,LABOR,
"TANK DESIGN, ASME",2,8,H2,ITEM,
"TANK DESIGN, ASME",2,9,I2,QTY,
"TANK DESIGN, ASME",2,10,J2,DESCRIPTION,
"TANK DESIGN, ASME",2,11,K2,MTRL,
"TANK DESIGN, ASME",2,12,L2,MOC,
"TANK DESIGN, ASME",2,13,M2,LABOR,
"TANK DESIGN, ASME",2,15,O2,ITEM,
"TANK DESIGN, ASME",2,16,P2,QTY,
"TANK DESIGN, ASME",2,17,Q2,DESCRIPTION,
"TANK DESIGN, ASME",2,18,R2,MTRL,
"TANK DESIGN, ASME",2,19,S2,MOC,
"TANK DESIGN, ASME",2,20,T2,LABOR,
"TANK DESIGN, ASME",4,1,A4,TOP HEAD,
"TANK DESIGN, ASME",4,2,B4,1,
"TANK DESIGN, ASME",4,3,C4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
"TANK DESIGN, ASME",4,4,D4,SA516-70,
"TANK DESIGN, ASME",4,8,H4,TOP HEAD,
"TANK DESIGN, ASME",4,9,I4,1,
"TANK DESIGN, ASME",4,10,J4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
"TANK DESIGN, ASME",4,11,K4,SA240-304/304L,
"TANK DESIGN, ASME",4,15,O4,TOP HEAD,
"TANK DESIGN, ASME",4,16,P4,1,
"TANK DESIGN, ASME",4,17,Q4,"ASME F&D "" OD, .3133"" MIN W/ 2"" SF",
"TANK DESIGN, ASME",4,18,R4,SA240-316/316L,
"TANK DESIGN, ASME",5,1,A5,SHELL,
"TANK DESIGN, ASME",5,2,B5,1,
"TANK DESIGN, ASME",5,3,C5,"5/16"" X "" X "" ",
"TANK DESIGN, ASME",5,4,D5,SA516-70,
