sheet,row,col,address,value,formula
TOC,1,1,A1,Tabs,
TOC,2,1,A2,"TANK DESIGN, API",
TOC,3,1,A3,Cleanout,
TOC,4,1,A4,"TANK DESIGN, ASME",
TOC,5,1,A5,HORIZONTAL TANK,
TOC,6,1,A6,"MANWAY, CS",
TOC,7,1,A7,"LABOR- SHELL ROLL, CS",
TOC,8,1,A8,"LABOR- SHELL ROLL, SS",
TOC,9,1,A9,LABOR- API TOP_BTM_RIM ANGLE ,
TOC,10,1,A10,LABOR- ASME HEAD_SHELL,
TOC,11,1,A11,LABOR- LEGS,
TOC,12,1,A12,LABOR- SKIRT,
TOC,13,1,A13,Labor - Saddles,
TOC,14,1,A14,Labor - Support lugs,
TOC,15,1,A15,LABOR- NOZZLE,
TOC,16,1,A16,LABOR- POLISH,
TOC,17,1,A17,LABOR- RING,
TOC,18,1,A18,LABOR- BAFFLE,
TOC,19,1,A19,LABOR- HALF PIPE JACKET,
TOC,20,1,A20,LABOR- DIMPLE JACKET,
TOC,21,1,A21,LABOR- INTERNAL COIL,
TOC,22,1,A22,LABOR- LADDER,
TOC,23,1,A23,LABOR- HANDRAIL,
TOC,24,1,A24,LABOR- PLATFORM,
TOC,25,1,A25,ADD ON- HANDRAIL,
TOC,26,1,A26,ADD ON- LADDER,
TOC,27,1,A27,ADD ON- PLATFORM,
TOC,28,1,A28,ADD ON- HALF PIPE JACKET,
TOC,29,1,A29,ADD ON- DIMPLE JACKET,
TOC,30,1,A30,ADD ON-INTERNAL COIL,
