sheet,row,col,address,value,formula
CONNECTIONS,6,1,A6,NOZZLES,
CONNECTIONS,7,1,A7,SIZE,
CONNECTIONS,7,2,B7,QTY,
CONNECTIONS,7,3,C7,TYPE,
CONNECTIONS,7,4,D7,RATING,
CONNECTIONS,7,5,E7,PIPE LENGTH,
CONNECTIONS,7,6,F7,SCH THICKNESS,
CONNECTIONS,7,7,G7,REPAD,
CONNECTIONS,7,8,H7,REPAD SIZE,
CONNECTIONS,7,9,I7,REPAD THICKNESS,
CONNECTIONS,7,10,J7,BLIND,
CONNECTIONS,7,11,K7,OTHER,
CONNECTIONS,7,12,L7,MOC,
CONNECTIONS,32,1,A32,INTERNAL COILS,
CONNECTIONS,33,1,A33,DIAMETER:,
CONNECTIONS,33,8,H33,PIPE SIZE:,
CONNECTIONS,34,1,A34,TURNS:,
CONNECTIONS,34,8,H34,PIPE SCHEDULE:,
CONNECTIONS,35,1,A35,PITCH:,
CONNECTIONS,37,1,A37,INTERNAL COILS #2,
CONNECTIONS,38,1,A38,DIAMETER:,
CONNECTIONS,38,8,H38,PIPE SIZE:,
CONNECTIONS,39,1,A39,TURNS:,
CONNECTIONS,39,8,H39,PIPE SCHEDULE:,
CONNECTIONS,40,1,A40,PITCH:,
