sheet,row,col,address,value,formula
HOUR-MATERIAL DATABASE,1,1,A1,FLAT & CONE TOP AND BOTTOM MATERIAL & HOURS,
HOUR-MATERIAL DATABASE,1,23,W1,WELD SEAMS & HEAD HOURS,
HOUR-MATERIAL DATABASE,2,1,A2,1,
HOUR-MATERIAL DATABASE,2,2,B2,2,
HOUR-MATERIAL DATABASE,2,3,C2,3,
HOUR-MATERIAL DATABASE,2,4,D2,4,
HOUR-MATERIAL DATABASE,2,5,E2,5,
HOUR-MATERIAL DATABASE,2,6,F2,6,
HOUR-MATERIAL DATABASE,2,7,G2,7,
HOUR-MATERIAL DATABASE,2,8,H2,8,
HOUR-MATERIAL DATABASE,2,9,I2,9,
HOUR-MATERIAL DATABASE,2,10,J2,10,
HOUR-MATERIAL DATABASE,2,11,K2,11,
HOUR-MATERIAL DATABASE,2,12,L2,12,
HOUR-MATERIAL DATABASE,2,13,M2,13,
HOUR-MATERIAL DATABASE,2,14,N2,14,
HOUR-MATERIAL DATABASE,2,15,O2,15,
HOUR-MATERIAL DATABASE,2,16,P2,16,
HOUR-MATERIAL DATABASE,2,17,Q2,17,
HOUR-MATERIAL DATABASE,2,18,R2,18,
HOUR-MATERIAL DATABASE,2,19,S2,19,
HOUR-MATERIAL DATABASE,2,20,T2,20,
HOUR-MATERIAL DATABASE,3,2,B3,SS Plate #1,
HOUR-MATERIAL DATABASE,3,3,C3,SS plate #2,
HOUR-MATERIAL DATABASE,3,4,D3,CST plate #1,
HOUR-MATERIAL DATABASE,3,5,E3,CST plate #2,
HOUR-MATERIAL DATABASE,3,7,G3,flat top hrs,
HOUR-MATERIAL DATABASE,3,8,H3,cone top hrs,
HOUR-MATERIAL DATABASE,3,9,I3,bottom hours,
HOUR-MATERIAL DATABASE,3,10,J3,rim angle hr,
HOUR-MATERIAL DATABASE,3,11,K3,sloped btm hrs,
HOUR-MATERIAL DATABASE,3,13,M3,ss plate 1 width,
HOUR-MATERIAL DATABASE,3,14,N3,ss plate 1 length,
HOUR-MATERIAL DATABASE,3,15,O3,ss plate 2 width,
HOUR-MATERIAL DATABASE,3,16,P3,ss plate2 length,
HOUR-MATERIAL DATABASE,3,17,Q3,cst 1 width,
HOUR-MATERIAL DATABASE,3,18,R3,cst 1 length,
HOUR-MATERIAL DATABASE,3,19,S3,cst 2 width,
HOUR-MATERIAL DATABASE,3,20,T3,cst 2 length,
HOUR-MATERIAL DATABASE,3,23,W3,0.1875,
HOUR-MATERIAL DATABASE,3,24,X3,0.25,
HOUR-MATERIAL DATABASE,3,25,Y3,0.3125,
HOUR-MATERIAL DATABASE,3,26,Z3,0.375,
HOUR-MATERIAL DATABASE,3,27,AA3,0.5,
HOUR-MATERIAL DATABASE,3,28,AB3,0.625,
HOUR-MATERIAL DATABASE,3,29,AC3,0.75,
HOUR-MATERIAL DATABASE,3,30,AD3,0.875,
HOUR-MATERIAL DATABASE,4,1,A4,1,
HOUR-MATERIAL DATABASE,4,2,B4,60 x 96,
HOUR-MATERIAL DATABASE,4,3,C4,Not Needed,
HOUR-MATERIAL DATABASE,4,4,D4,60 x 96,
HOUR-MATERIAL DATABASE,4,5,E4,Not Needed,
HOUR-MATERIAL DATABASE,4,7,G4,3,
HOUR-MATERIAL DATABASE,4,8,H4,5,
HOUR-MATERIAL DATABASE,4,9,I4,3,
HOUR-MATERIAL DATABASE,4,10,J4,4,
HOUR-MATERIAL DATABASE,4,11,K4,7,=I4+4
HOUR-MATERIAL DATABASE,4,13,M4,60,
HOUR-MATERIAL DATABASE,4,14,N4,96,
HOUR-MATERIAL DATABASE,4,17,Q4,60,
HOUR-MATERIAL DATABASE,4,18,R4,96,
HOUR-MATERIAL DATABASE,4,22,V4,1,
HOUR-MATERIAL DATABASE,4,23,W4,6,
HOUR-MATERIAL DATABASE,4,24,X4,6,
HOUR-MATERIAL DATABASE,4,25,Y4,6,
HOUR-MATERIAL DATABASE,4,26,Z4,9,
HOUR-MATERIAL DATABASE,4,27,AA4,11,
HOUR-MATERIAL DATABASE,4,28,AB4,13,
HOUR-MATERIAL DATABASE,4,29,AC4,15,
HOUR-MATERIAL DATABASE,4,30,AD4,17,
HOUR-MATERIAL DATABASE,5,1,A5,2,
