sheet,row,col,address,value,formula
INFORMATION,6,1,A6,BASIC INFORMATION,
INFORMATION,7,1,A7,QUOTE #:,
INFORMATION,7,5,E7,DUE DATE:,
INFORMATION,8,1,A8,CUSTOMER NAME:,
INFORMATION,8,5,E8,CONTACT NAME:,
INFORMATION,9,1,A9,DESCRIPTION:,
INFORMATION,9,5,E9,CONTACT NUMBER:,
INFORMATION,10,1,A10,TAG #:,
INFORMATION,10,5,E10,PROJECT NAME:,
INFORMATION,11,1,A11,MOC:,
INFORMATION,11,5,E11,DESIGN TEMP:,
INFORMATION,12,1,A12,DIAMETER:,
INFORMATION,12,5,E12,DESIGN PRESSURE:,
INFORMATION,13,1,A13,SHELL HEIGHT:,
INFORMATION,13,5,E13,DESIGN VACUUM:,
INFORMATION,14,1,A14,CODE:,
INFORMATION,14,5,E14,ID OR OD:,
INFORMATION,15,1,A15,CORROSION ALLOWANCE:,
INFORMATION,15,5,E15,VERTICAL/HORIZONTAL:,
INFORMATION,16,1,A16,OPTIONS,
INFORMATION,17,1,A17,LADDER:,
INFORMATION,17,5,E17,HANDRAILS:,
INFORMATION,18,1,A18,PLATFORM:,
INFORMATION,18,5,E18,AGITATOR BRIDGE:,
INFORMATION,19,1,A19,REST PLATFORM:,
INFORMATION,19,5,E19,PIPE SUPPORTS:,
INFORMATION,20,1,A20,JACKETS:,
INFORMATION,20,5,E20,BAFFLES:,
INFORMATION,21,1,A21,TOP HEAD JACKET:,
INFORMATION,21,5,E21,BAFFLE QTY:,
INFORMATION,22,1,A22,SHELL  JACKET:,
INFORMATION,22,5,E22,BAFFLE WIDTH:,
INFORMATION,23,1,A23,# OF SHELL JACKET SECTIONS:,
INFORMATION,23,5,E23,BAFFLE HEIGHT:,
INFORMATION,24,1,A24,BOTTOM HEAD JACKET:,
INFORMATION,24,5,E24,POLISH:,
INFORMATION,25,1,A25,INSULATION RINGS:,
INFORMATION,25,5,E25,WELDS GROUND:,
INFORMATION,26,1,A26,VACUUM RINGS:,
INFORMATION,26,5,E26,PAINT:,
INFORMATION,27,1,A27,INTERNAL SUPPORT RINGS:,
