sheet,row,col,address,value,formula
JACKETS,6,1,A6,JACKET,
JACKETS,7,1,A7,TOP HEAD JACKET:,
JACKETS,7,5,E7,SHELL #1 JACKET:,
JACKETS,8,1,A8,BTM HEAD JACKET:,
JACKETS,8,5,E8,SHELL #2 JACKET:,
JACKETS,9,1,A9,JACKET MOC:,
JACKETS,9,5,E9,SHELL #3 JACKET:,
JACKETS,11,1,A11,DIMPLE,
JACKETS,12,1,A12, DIMPLE JACKET GUAGE:,
JACKETS,12,5,E12,SHELL #1 HEIGHT:,
JACKETS,13,1,A13, DIMPLE JACKET SPACING:,
JACKETS,13,5,E13,SHELL #1 PRICE:,
JACKETS,14,1,A14,TOP HEAD PRICE:,
JACKETS,14,5,E14,SHELL #2 HEIGHT:,
JACKETS,15,1,A15,BTM HEAD PRICE:,
JACKETS,15,5,E15,SHELL #2 PRICE:,
JACKETS,16,5,E16,SHELL #3 HEIGHT:,
JACKETS,17,5,E17,SHELL #3 PRICE:,
JACKETS,18,1,A18,HALF PIPE,
JACKETS,19,1,A19,DIAMETER OF PIPE:,
JACKETS,19,5,E19,SHELL #1 TURNS:,
JACKETS,20,1,A20,TOP HEAD TURNS:,
JACKETS,20,5,E20,SHELL #1 PITCH:,
JACKETS,21,1,A21,TOP HEAD PITCH:,
JACKETS,21,5,E21,SHELL #1 STRETCH OUT:,
JACKETS,22,1,A22,TOP HEAD STRETCH OUT:,
JACKETS,22,5,E22,SHELL #1 PRICE:,
JACKETS,23,1,A23,TOP HEAD PRICE:,
JACKETS,23,5,E23,SHELL #2 TURNS:,
JACKETS,24,1,A24,BTM HEAD TURNS:,
JACKETS,24,5,E24,SHELL #2 PITCH:,
JACKETS,25,1,A25,BTM HEAD PITCH:,
JACKETS,25,5,E25,SHELL #2 STRETCH OUT:,
JACKETS,26,1,A26,BTM HEAD STRETCHOUT:,
JACKETS,26,5,E26,SHELL #2 PRICE:,
JACKETS,27,1,A27,BTM HEAD PRICE:,
JACKETS,27,5,E27,SHELL #3 TURNS:,
JACKETS,28,5,E28,SHELL #3 PITCH:,
JACKETS,29,5,E29,SHELL #3 STRETCH OUT:,
JACKETS,30,1,A30,SHIPPING COST:,
JACKETS,30,5,E30,SHELL #3 PRICE:,
JACKETS,31,1,A31,CONVENTIONAL,
JACKETS,32,1,A32,SHELL HEIGHT:,
JACKETS,32,5,E32,HEAD TYPE:,
JACKETS,33,1,A33,SHELL THICKNESS:,
JACKETS,33,5,E33,MIN THICKNESS:,
JACKETS,34,1,A34,CLOSURE RING THICKNESS:,
JACKETS,34,5,E34,NOM THICKNESS:,
JACKETS,35,5,E35,HEAD PRICE:,
