sheet,row,col,address,value,formula
LISTS,1,1,A1,"""",
LISTS,1,3,C1,,
LISTS,2,1,A2,ANCHOR CHAIRS,
LISTS,2,2,B2,ANGLE LEGS,
LISTS,2,3,C2,PIPE LEGS,
LISTS,2,4,D2,BEAM LEGS,
LISTS,2,5,E2,SUPPORT LUGS,
LISTS,2,6,F2,SKIRT,
LISTS,2,7,G2,SADDLES,
LISTS,2,8,H2,NO SUPPORTS,
LISTS,4,1,A4,YES,
LISTS,4,2,B4,NO,
LISTS,6,1,A6,SA36,
LISTS,6,2,B6,SA240-304/304L,
LISTS,6,3,C6,SA240-316/316L,
LISTS,6,4,D6,SA53-B WLD,
LISTS,6,5,E6,SA312-304/304L WLD,
LISTS,6,6,F6,SA312-316/316L WLD,
LISTS,6,7,G6,SA992,
LISTS,7,1,A7,INFO B11,
LISTS,8,1,A8,36,
LISTS,8,2,B8,516,
LISTS,8,3,C8,304,
LISTS,8,4,D8,316,
LISTS,8,5,E8,2205,
LISTS,9,1,A9,INFO B14,
LISTS,10,1,A10,ASME (STAMPED),
LISTS,10,2,B10,ASME (NO STAMP),
LISTS,10,3,C10,API,
LISTS,10,4,D10,PER CUSTOMER DESIGN,
LISTS,12,1,A12,MANWAY,
LISTS,12,2,B12,AGITATOR,
LISTS,12,3,C12,HANDHOLE,
LISTS,14,1,A14,RFSO,
LISTS,14,2,B14,RFWN,
LISTS,14,3,C14,RFLJ,
LISTS,14,4,D14,COUPLING,
LISTS,14,5,E14,API STYLE,
LISTS,14,6,F14,PIPE STUB,
LISTS,14,7,G14,GOOSENECK VENT,
LISTS,14,8,H14,PAD,
LISTS,16,1,A16,150#,
LISTS,16,2,B16,300#,
LISTS,16,3,C16,600#,
LISTS,16,4,D16,3000#,
LISTS,16,5,E16,6000#,
LISTS,18,1,A18,SCH5,
LISTS,18,2,B18,SCH10,
LISTS,18,3,C18,SCH40,
LISTS,18,4,D18,SCHSTD,
LISTS,18,5,E18,SCH80,
LISTS,18,6,F18,SCH160,
LISTS,18,7,G18,0.1875,
LISTS,18,8,H18,0.25,
LISTS,18,9,I18,0.3125,
LISTS,18,10,J18,0.375,
LISTS,18,11,K18,0.5,
LISTS,18,12,L18,0.625,
LISTS,18,13,M18,0.75,
LISTS,20,1,A20,0.1875,
LISTS,20,2,B20,0.25,
LISTS,20,3,C20,0.3125,
LISTS,20,4,D20,0.375,
LISTS,20,5,E20,0.5,
LISTS,20,6,F20,0.625,
LISTS,22,1,A22,"1/4""",
LISTS,22,2,B22,"1/2""",
LISTS,22,3,C22,"5/8""",
LISTS,22,4,D22,"3/4""",
LISTS,22,5,E22,"1""",
LISTS,22,6,F22,"2""",
LISTS,22,7,G22,"3""",
LISTS,22,8,H22,"4""",
LISTS,22,9,I22,"5""",
LISTS,22,10,J22,"6""",
LISTS,22,11,K22,"8""",
LISTS,22,12,L22,"10""",
LISTS,22,13,M22,"12""",
LISTS,22,14,N22,"14""",
LISTS,22,15,O22,"16""",
LISTS,22,16,P22,"18""",
LISTS,22,17,Q22,"20""",
LISTS,22,18,R22,"22""",
LISTS,22,19,S22,"24""",
LISTS,22,20,T22,"30""",
LISTS,24,1,A24,0.0625,
LISTS,24,2,B24,0.125,
LISTS,24,3,C24,0.1875,
LISTS,24,4,D24,0.25,
LISTS,24,5,E24,0.3125,
LISTS,24,6,F24,0.375,
LISTS,24,7,G24,0.5,
LISTS,24,8,H24,0.625,
LISTS,24,9,I24,0.75,
LISTS,24,10,J24,0.875,
LISTS,24,11,K24,1,
LISTS,26,1,A26,NO,
LISTS,26,2,B26,2B,
LISTS,26,3,C26,#4,
LISTS,28,1,A28,STANDARD,
LISTS,28,2,B28,SMOOTH (NOT FLUSH),
LISTS,28,3,C28,SMOOTH & FLUSH,
LISTS,30,1,A30,NO,
LISTS,30,2,B30,YES,
LISTS,30,3,C30,SUPPORTS ONLY,
LISTS,32,1,A32,CONE,
LISTS,32,2,B32,FLAT,
LISTS,32,3,C32,OPEN,
LISTS,32,4,D32,F&D,
LISTS,32,5,E32,2:1 ELLIPTICAL,
LISTS,34,1,A34,FLAT,
LISTS,34,2,B34,F&D,
LISTS,34,3,C34,2:1 ELLIPTICAL,
LISTS,34,4,D34,CONE,
LISTS,36,1,A36,304,
LISTS,36,2,B36,316,
LISTS,36,3,C36,CARBON,
LISTS,36,4,D36,2205,
LISTS,38,1,A38,ID,
LISTS,38,2,B38,OD,
LISTS,40,1,A40,"3/16"" X 2"" X 2""",
LISTS,40,2,B40,"3/16"" X 3"" X 3""",
LISTS,40,3,C40,"1/4"" X 2"" X 2""",
LISTS,40,4,D40,"1/4"" X 3"" X 3""",
LISTS,40,5,E40,"5/16"" X 3"" X 3""",
LISTS,40,6,F40,"5/16"" X 4"" X 4""",
LISTS,42,1,A42,VERTICAL ,
LISTS,42,2,B42,HORIZONTAL,
LISTS,44,1,A44,C3 X 6,
LISTS,44,2,B44,C4 X 13,
LISTS,44,3,C44,C6 X 8.2,
LISTS,44,4,D44,"3/8"" X 3"" X 3""",
LISTS,44,5,E44,W8 X 24,
LISTS,46,1,A46,304,
LISTS,46,2,B46,36,
