sheet,row,col,address,value,formula
PRICE DATABASE,1,1,A1,PLATE PRICING,
PRICE DATABASE,1,12,L1,PLATE WEIGHT,
PRICE DATABASE,2,2,B2,48 OR 60 WIDE,
PRICE DATABASE,2,5,E2,72 WIDE,
PRICE DATABASE,2,7,G2,96 WIDE,
PRICE DATABASE,2,9,I2,120 WIDE,
PRICE DATABASE,2,13,M2,SS,
PRICE DATABASE,2,14,N2,CARBON,
PRICE DATABASE,3,2,B3,304 ,
PRICE DATABASE,3,3,C3,316,
PRICE DATABASE,3,4,D3,36,
PRICE DATABASE,3,5,E3,304,
PRICE DATABASE,3,6,F3,316,
PRICE DATABASE,3,7,G3,36,
PRICE DATABASE,3,8,H3,516,
PRICE DATABASE,3,9,I3,36,
PRICE DATABASE,3,10,J3,516,
PRICE DATABASE,4,1,A4,0.1875,
PRICE DATABASE,4,2,B4,1.49,
PRICE DATABASE,4,4,D4,0.49,
PRICE DATABASE,4,12,L4,0.1875,
PRICE DATABASE,4,13,M4,8.58,
PRICE DATABASE,4,14,N4,7.66,
PRICE DATABASE,5,1,A5,0.25,
PRICE DATABASE,5,2,B5,1.49,
PRICE DATABASE,5,4,D5,0.49,
PRICE DATABASE,5,12,L5,0.25,
PRICE DATABASE,5,13,M5,11.16,
PRICE DATABASE,5,14,N5,10.21,
PRICE DATABASE,6,1,A6,0.3125,
PRICE DATABASE,6,2,B6,1.54,
PRICE DATABASE,6,4,D6,0.49,
PRICE DATABASE,6,12,L6,0.3125,
PRICE DATABASE,6,13,M6,13.75,
PRICE DATABASE,6,14,N6,12.76,
PRICE DATABASE,7,1,A7,0.375,
PRICE DATABASE,7,2,B7,1.54,
PRICE DATABASE,7,4,D7,0.49,
PRICE DATABASE,7,12,L7,0.375,
PRICE DATABASE,7,13,M7,16.5,
PRICE DATABASE,7,14,N7,15.32,
PRICE DATABASE,8,1,A8,0.5,
PRICE DATABASE,8,2,B8,1.88,
PRICE DATABASE,8,4,D8,0.52,
PRICE DATABASE,8,12,L8,0.5,
PRICE DATABASE,8,13,M8,21.66,
PRICE DATABASE,8,14,N8,20.42,
PRICE DATABASE,9,1,A9,0.625,
PRICE DATABASE,9,2,B9,1.99,
PRICE DATABASE,9,4,D9,0.54,
PRICE DATABASE,9,12,L9,0.625,
PRICE DATABASE,9,13,M9,26.83,
PRICE DATABASE,9,14,N9,25.53,
PRICE DATABASE,10,1,A10,0.75,
PRICE DATABASE,10,2,B10,2.04,
PRICE DATABASE,10,4,D10,0.55,
PRICE DATABASE,10,12,L10,0.75,
PRICE DATABASE,10,13,M10,32.12,
PRICE DATABASE,10,14,N10,30.63,
PRICE DATABASE,11,1,A11,0.875,
PRICE DATABASE,11,2,B11,2.04,
PRICE DATABASE,11,4,D11,0.55,
PRICE DATABASE,11,12,L11,0.875,
PRICE DATABASE,11,13,M11,37.29,
PRICE DATABASE,11,14,N11,35.74,
PRICE DATABASE,12,1,A12,1,
PRICE DATABASE,12,2,B12,2.09,
PRICE DATABASE,12,4,D12,0.63,
PRICE DATABASE,12,12,L12,1,
PRICE DATABASE,12,13,M12,42.67,
PRICE DATABASE,12,14,N12,40.84,
PRICE DATABASE,14,1,A14,RIM ANGLE PRICING,
PRICE DATABASE,14,6,F14,STIFFENER PRICING,
PRICE DATABASE,15,2,B15,SA36,
PRICE DATABASE,15,3,C15,304,
PRICE DATABASE,15,4,D15,316,
PRICE DATABASE,15,7,G15,SA36,
PRICE DATABASE,15,8,H15,304,
PRICE DATABASE,16,1,A16,"3/16"" X 2"" X 2""",
PRICE DATABASE,16,6,F16,C3 X 6,
PRICE DATABASE,17,1,A17,"3/16"" X 3"" X 3""",
PRICE DATABASE,17,6,F17,C4 X 13,
PRICE DATABASE,18,1,A18,"1/4"" X 2"" X 2""",
PRICE DATABASE,18,6,F18,C6 X 8.2,
PRICE DATABASE,19,1,A19,"1/4"" X 3"" X 3""",
PRICE DATABASE,19,6,F19,"3/8"" X 3"" X 3""",
PRICE DATABASE,20,1,A20,"5/16"" X 3"" X 3""",
PRICE DATABASE,20,6,F20,W8 X 24,
PRICE DATABASE,21,1,A21,"5/16"" X 4"" X 4""",
