sheet,row,col,address,value,formula
RESULT,1,2,B1,Savannah Tank & Equipment Corporation,
RESULT,2,2,B2,QUOTATION NO,
RESULT,2,3,C2,0,=INFORMATION!B7
RESULT,2,5,E2,DATE,
RESULT,2,6,F2,2025-06-23 00:00:00,=TODAY()
RESULT,3,2,B3,DESCRIPTION:,
RESULT,3,3,C3,,"=IF(ISTEXT(INFORMATION!B10),_xlfn.CONCAT(INFORMATION!B9,"" ("",INFORMATION!B10,"")""),_xlfn.CONCAT(INFORMATION!B9))"
RESULT,3,5,E3,SIZE,
RESULT,3,6,F3,"""  X ""","=CONCATENATE(INFORMATION!B12,LISTS!A1,"" "",INFORMATION!F14,"" X "",INFORMATION!B13,LISTS!A1)"
RESULT,3,12,L3,IF MTRL SHOW #REF FOR CONE OR FLAT TOP IT IS BECAUSE 516 OR 2205 WAS SELECTED AS MATERIAL; YOU MUST ADJUST PLATE SIZES AND ENTER PRICE FORMULA ,
RESULT,4,1,A4,item #,
RESULT,4,2,B4,ITEM,
RESULT,4,3,C4,QTY,
RESULT,4,4,D4,DESCRIPTION,
RESULT,4,5,E4,MOC,
RESULT,4,6,F4,MTRL $,
RESULT,4,7,G4,LABOR,
RESULT,5,1,A5,1,
RESULT,5,2,B5,CONE TOP,
RESULT,5,3,C5,0,"=IF('TOP-BTM-SHELL DESIGN'!B7=""CONE"",1,0)"
RESULT,5,4,D5,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343B37A10>,
RESULT,5,5,E5,0,"=IF(C5=1,INFORMATION!$B$11,0)"
RESULT,5,6,F5,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343D95A90>,
RESULT,5,7,G5,0,"=IF(C5=1,VLOOKUP(INFORMATION!$B$12,'HOUR-MATERIAL DATABASE'!$A$2:$T$207,8,FALSE),0)"
RESULT,6,1,A6,2,
RESULT,6,3,C6,0,"=IF('TOP-BTM-SHELL DESIGN'!B7=""CONE"",1,0)"
RESULT,6,4,D6,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343D95D10>,
RESULT,6,5,E6,0,"=IF(C6=1,INFORMATION!$B$11,0)"
RESULT,6,6,F6,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343DAA2C0>,
RESULT,6,7,G6,-,
RESULT,7,1,A7,3,
RESULT,7,2,B7,FLAT TOP,
RESULT,7,3,C7,0,"=IF('TOP-BTM-SHELL DESIGN'!B7=""FLAT"",1,0)"
RESULT,7,4,D7,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343DA8B00>,
RESULT,7,5,E7,0,"=IF(C7=1,INFORMATION!$B$11,0)"
RESULT,7,6,F7,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343E479B0>,
RESULT,7,7,G7,0,"=IF(C7=1,VLOOKUP(INFORMATION!$B$12,'HOUR-MATERIAL DATABASE'!$A$2:$T$207,7,FALSE),0)"
RESULT,8,1,A8,4,
RESULT,8,3,C8,0,"=IF('TOP-BTM-SHELL DESIGN'!B7=""FLAT"",1,0)"
RESULT,8,4,D8,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343D3F570>,
RESULT,8,5,E8,0,"=IF(C8=1,INFORMATION!$B$11,0)"
RESULT,8,6,F8,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343D3F9B0>,
RESULT,8,7,G8,-,
RESULT,9,1,A9,5,
RESULT,9,2,B9,TOP HEAD,
RESULT,9,3,C9,0,"=IF('TOP-BTM-SHELL DESIGN'!B7=""F&D"",1,0)+IF('TOP-BTM-SHELL DESIGN'!B7=""2:1 ELLIPTICAL"",1,0)"
RESULT,9,4,D9,<openpyxl.worksheet.formula.ArrayFormula object at 0x0000021343D43150>,
RESULT,9,5,E9,0,"=IF(C9=1,INFORMATION!$B$11,0)"
RESULT,9,6,F9,0,='TOP-BTM-SHELL DESIGN'!F9
