sheet,row,col,address,value,formula
SUPPORTS-RINGS,6,1,A6,SUPPORTS,
SUPPORTS-RINGS,7,1,A7,TYPE:,
SUPPORTS-RINGS,7,5,E7,TOP PLATE WIDTH:,
SUPPORTS-RINGS,8,1,A8,NUMBER OF SUPPORTS:,
SUPPORTS-RINGS,8,5,E8,TOP PLATE LENGTH:,
SUPPORTS-RINGS,9,1,A9,SUPPORT MOC:,
SUPPORTS-RINGS,9,5,E9,TOP PLATE THICKNESS:,
SUPPORTS-RINGS,10,1,A10,REPAD REQUIRED:,
SUPPORTS-RINGS,10,5,E10,GUSSET HEIGHT:,
SUPPORTS-RINGS,11,1,A11,REPAD HEIGHT:,
SUPPORTS-RINGS,11,5,E11,GUSSET LENGTH:,
SUPPORTS-RINGS,12,1,A12,REPAD LENGTH:,
SUPPORTS-RINGS,12,5,E12,GUSSET THICKNESS:,
SUPPORTS-RINGS,13,1,A13,REPAD THICKNESS:,
SUPPORTS-RINGS,13,5,E13,BTM PLATE WIDTH:,
SUPPORTS-RINGS,14,1,A14,REPAD MOC:,
SUPPORTS-RINGS,14,5,E14,BTM PLATE LENGTH:,
SUPPORTS-RINGS,15,1,A15,SKIRT THICKNESS:,
SUPPORTS-RINGS,15,5,E15,BTM PLATE THICKNESS:,
SUPPORTS-RINGS,16,1,A16,SKIRT HEIGHT:,
SUPPORTS-RINGS,16,5,E16,PIPE LEG SIZE:,
SUPPORTS-RINGS,17,1,A17,BASE RING THICKNESS:,
SUPPORTS-RINGS,17,5,E17,ANGLE LEG SIZE:,
SUPPORTS-RINGS,18,1,A18,BASE RING WIDTH:,
SUPPORTS-RINGS,18,5,E18,BEAM LEG SIZE:,
SUPPORTS-RINGS,19,1,A19,# OF GUSSETS:,
SUPPORTS-RINGS,19,5,E19,LEG LENGTH:,
SUPPORTS-RINGS,20,1,A20,SIZE OF OPENING #1,
SUPPORTS-RINGS,20,5,E20,BASE PLATE WIDTH:,
SUPPORTS-RINGS,21,1,A21,SIZE OF OPENING #2,
SUPPORTS-RINGS,21,5,E21,BASE PLATE LENGTH:,
SUPPORTS-RINGS,22,1,A22,SIZE OF OPENING #3,
SUPPORTS-RINGS,22,5,E22,BASE PLATE THICKNESS:,
SUPPORTS-RINGS,23,1,A23,SIZE OF OPENING #4,
SUPPORTS-RINGS,23,5,E23,WEB WIDTH:,
SUPPORTS-RINGS,24,1,A24,SIZE OF OPENING #5,
SUPPORTS-RINGS,24,5,E24,WEB LENGTH:,
SUPPORTS-RINGS,25,1,A25,SIZE OF OPENING #6,
SUPPORTS-RINGS,25,5,E25,WEB THICKNESS:,
SUPPORTS-RINGS,26,5,E26,STIFFENER WIDTH:,
SUPPORTS-RINGS,27,5,E27,STIFFENER LENGTH:,
SUPPORTS-RINGS,28,5,E28,STIFFENER THICKNESS:,
SUPPORTS-RINGS,29,5,E29,# OF STIFFENERS:,
SUPPORTS-RINGS,30,1,A30,RINGS,
SUPPORTS-RINGS,32,1,A32,# OF INS. RINGS:,
SUPPORTS-RINGS,32,5,E32,# OF INTERNAL RINGS:,
SUPPORTS-RINGS,33,1,A33,INS. RING WIDTH:,
SUPPORTS-RINGS,33,5,E33,INTRENAL RING WIDTH:,
SUPPORTS-RINGS,34,1,A34,# OF VACUUM RINGS:,
SUPPORTS-RINGS,34,5,E34,INTERNAL RING THICKNESS:,
SUPPORTS-RINGS,35,1,A35,VACUUM RING THICKNESS:,
SUPPORTS-RINGS,36,1,A36,VACUUM RING WIDTH:,
