sheet,row,col,address,value,formula
TOP-BTM-SHELL DESIGN,6,1,A6,ROOF,
TOP-BTM-SHELL DESIGN,7,1,A7,TYPE:,
TOP-BTM-SHELL DESIGN,7,5,E7,RIM ANGLE:,
TOP-BTM-SHELL DESIGN,8,1,A8,THICKNESS:,
TOP-BTM-SHELL DESIGN,8,5,E8,RIM ANGLE SIZE:,
TOP-BTM-SHELL DESIGN,9,1,A9,STIFFENERS:,
TOP-BTM-SHELL DESIGN,9,5,E9,HEAD PRICE:,
TOP-BTM-SHELL DESIGN,10,1,A10,# OF STIFFENERS:,
TOP-BTM-SHELL DESIGN,10,5,E10,MIN THICKNESS:,
TOP-BTM-SHELL DESIGN,11,1,A11,SHAPE OF STIFFENERS:,
TOP-BTM-SHELL DESIGN,11,5,E11,NOM THICKNESS:,
TOP-BTM-SHELL DESIGN,12,1,A12,MOC OF STIFFENERS:,
TOP-BTM-SHELL DESIGN,13,1,A13,BOTTOM,
TOP-BTM-SHELL DESIGN,14,1,A14,TYPE:,
TOP-BTM-SHELL DESIGN,14,5,E14,HEAD PRICE:,
TOP-BTM-SHELL DESIGN,15,1,A15,THICKNESS:,
TOP-BTM-SHELL DESIGN,15,5,E15,MIN THICKNESS:,
TOP-BTM-SHELL DESIGN,16,1,A16,CONE BOTTOM HEIGHT:,
TOP-BTM-SHELL DESIGN,16,5,E16,NOM THICKNESS:,
TOP-BTM-SHELL DESIGN,17,1,A17,CONE BOTTOM TOP DIAMETER:,
TOP-BTM-SHELL DESIGN,17,5,E17,SLOPED BOTTOM:,
TOP-BTM-SHELL DESIGN,18,1,A18,CONE BOTTOM BTM DIAMETER:,
TOP-BTM-SHELL DESIGN,18,5,E18,SLOPED BOTTOM THICKNESS:,
TOP-BTM-SHELL DESIGN,19,1,A19,CONE BTM MATERIAL SIZE:,
TOP-BTM-SHELL DESIGN,19,5,E19,# OF STIFFENERS,
TOP-BTM-SHELL DESIGN,20,1,A20,CONE BOTTOM MATERIAL #2:,
TOP-BTM-SHELL DESIGN,20,5,E20,HEIGHT OF STIFFENERS:,
TOP-BTM-SHELL DESIGN,21,1,A21,CONE BOTTOM MATERIAL #3:,
TOP-BTM-SHELL DESIGN,22,1,A22,CONE BOTTOM HOURS:,
TOP-BTM-SHELL DESIGN,23,1,A23,SHELL,
TOP-BTM-SHELL DESIGN,24,1,A24,THICKNESS #1:,
TOP-BTM-SHELL DESIGN,24,5,E24,BODY FLANGE:,
TOP-BTM-SHELL DESIGN,25,1,A25,HEIGHT #1:,
TOP-BTM-SHELL DESIGN,25,5,E25,BODY FLANGE QTY:,
TOP-BTM-SHELL DESIGN,26,1,A26,THICKNESS #2:,
TOP-BTM-SHELL DESIGN,26,5,E26,BODY FLANGE OD:,
TOP-BTM-SHELL DESIGN,27,1,A27,HEIGHT #2:,
TOP-BTM-SHELL DESIGN,27,5,E27,BODY FLANGE ID:,
TOP-BTM-SHELL DESIGN,28,1,A28,THICKNESS #3:,
TOP-BTM-SHELL DESIGN,28,5,E28,BODY FLANGE BC:,
TOP-BTM-SHELL DESIGN,29,1,A29,HEIGHT #3:,
TOP-BTM-SHELL DESIGN,29,5,E29,BODY FLANGE BOLTS:,
TOP-BTM-SHELL DESIGN,30,1,A30,TOTAL HEIGHT:,
TOP-BTM-SHELL DESIGN,30,2,B30,0,=B29+B27+B25
TOP-BTM-SHELL DESIGN,30,5,E30,BODY FLANGE PRICE:,
TOP-BTM-SHELL DESIGN,31,1,A31,NEEDED HEIGHT:,
TOP-BTM-SHELL DESIGN,31,2,B31,0,=INFORMATION!B13
